SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Aave,AAVE,2020-10-05 23:59:59,"55,11","49,79","52,68","53,22","0,00","89128128,86"
2,Aave,AAVE,2020-10-06 23:59:59,"53,40","40,73","53,29","42,40","583091,46","71011441,25"
3,Aave,AAVE,2020-10-07 23:59:59,"42,41","35,97","42,40","40,08","682834,19","67130036,90"
4,Aave,AAVE,2020-10-08 23:59:59,"44,90","36,70","39,89","43,76","1658816,92","220265142,11"
5,Aave,AAVE,2020-10-09 23:59:59,"47,57","43,29","43,76","46,82","815537,66","235632208,16"
6,Aave,AAVE,2020-10-10 23:59:59,"51,41","46,70","46,82","49,13","1074627,03","247288428,76"
7,Aave,AAVE,2020-10-11 23:59:59,"51,45","48,72","49,13","49,66","692150,60","249940843,43"
8,Aave,AAVE,2020-10-12 23:59:59,"54,42","48,75","49,66","52,24","1354836,06","262915666,29"
9,Aave,AAVE,2020-10-13 23:59:59,"57,48","49,60","52,24","51,12","1386221,21","257307050,43"
10,Aave,AAVE,2020-10-14 23:59:59,"57,85","49,63","51,37","51,32","3132405,42","258274392,51"
11,Aave,AAVE,2020-10-15 23:59:59,"52,08","44,02","51,39","44,02","5883146,06","221547139,11"
12,Aave,AAVE,2020-10-16 23:59:59,"43,91","39,14","42,89","39,50","52855204,94","365071463,28"
13,Aave,AAVE,2020-10-17 23:59:59,"43,08","38,63","39,49","41,37","43339687,25","382367032,26"
14,Aave,AAVE,2020-10-18 23:59:59,"41,75","39,53","41,39","40,75","40441163,46","376635994,14"
15,Aave,AAVE,2020-10-19 23:59:59,"41,00","35,95","40,84","36,01","49289896,51","332872221,18"
16,Aave,AAVE,2020-10-20 23:59:59,"36,32","32,10","36,04","32,18","60632325,59","297449169,45"
17,Aave,AAVE,2020-10-21 23:59:59,"37,08","32,05","32,25","35,16","43831234,96","324997301,45"
18,Aave,AAVE,2020-10-22 23:59:59,"39,86","33,59","35,10","38,03","54717366,38","402396251,49"
19,Aave,AAVE,2020-10-23 23:59:59,"42,55","36,92","37,73","41,69","76081859,91","445257057,97"
20,Aave,AAVE,2020-10-24 23:59:59,"42,44","38,73","41,69","39,46","57658170,29","421421064,28"
