SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Binance Coin,BNB,2017-07-26 23:59:59,"0,11","0,10","0,11","0,11","200395,00","10513800,00"
2,Binance Coin,BNB,2017-07-27 23:59:59,"0,11","0,10","0,11","0,11","344499,00","10773700,00"
3,Binance Coin,BNB,2017-07-28 23:59:59,"0,11","0,10","0,11","0,10","342568,00","10406700,00"
4,Binance Coin,BNB,2017-07-29 23:59:59,"0,11","0,10","0,10","0,11","340218,00","10781100,00"
5,Binance Coin,BNB,2017-07-30 23:59:59,"0,11","0,10","0,11","0,11","224261,00","10641400,00"
6,Binance Coin,BNB,2017-07-31 23:59:59,"0,11","0,10","0,11","0,10","240309,00","10425000,00"
7,Binance Coin,BNB,2017-08-01 23:59:59,"0,11","0,10","0,10","0,10","300413,00","9986680,00"
8,Binance Coin,BNB,2017-08-02 23:59:59,"0,10","0,10","0,10","0,10","256793,00","10045200,00"
9,Binance Coin,BNB,2017-08-03 23:59:59,"0,11","0,10","0,10","0,11","293008,00","10664200,00"
10,Binance Coin,BNB,2017-08-04 23:59:59,"0,11","0,10","0,11","0,11","287621,00","10749400,00"
11,Binance Coin,BNB,2017-08-05 23:59:59,"0,14","0,11","0,11","0,13","542878,00","12887100,00"
12,Binance Coin,BNB,2017-08-06 23:59:59,"0,13","0,13","0,13","0,13","393681,00","13099900,00"
13,Binance Coin,BNB,2017-08-07 23:59:59,"0,15","0,13","0,13","0,15","748177,00","14884800,00"
14,Binance Coin,BNB,2017-08-08 23:59:59,"0,23","0,15","0,15","0,22","2617340,00","22442100,00"
15,Binance Coin,BNB,2017-08-09 23:59:59,"0,26","0,22","0,22","0,24","3075320,00","24291200,00"
16,Binance Coin,BNB,2017-08-10 23:59:59,"0,35","0,25","0,25","0,35","4118070,00","34907900,00"
17,Binance Coin,BNB,2017-08-11 23:59:59,"0,41","0,31","0,35","0,39","4413920,00","39257200,00"
18,Binance Coin,BNB,2017-08-12 23:59:59,"0,48","0,34","0,39","0,45","5080760,00","44636500,00"
19,Binance Coin,BNB,2017-08-13 23:59:59,"1,02","0,45","0,45","0,88","13852100,00","87682800,00"
20,Binance Coin,BNB,2017-08-14 23:59:59,"1,46","0,74","0,87","1,30","51698100,00","129557000,00"
21,Binance Coin,BNB,2017-08-15 23:59:59,"1,38","0,92","1,33","1,06","19824400,00","105655000,00"
22,Binance Coin,BNB,2017-08-16 23:59:59,"1,45","1,08","1,12","1,44","31363100,00","143724000,00"
23,Binance Coin,BNB,2017-08-17 23:59:59,"2,11","1,32","1,44","1,97","61296500,00","196715000,00"
24,Binance Coin,BNB,2017-08-18 23:59:59,"2,75","1,89","1,93","2,38","69048000,00","238400000,00"
25,Binance Coin,BNB,2017-08-19 23:59:59,"2,33","1,82","2,33","2,09","43391300,00","209337000,00"
26,Binance Coin,BNB,2017-08-20 23:59:59,"2,69","2,08","2,11","2,50","65350400,00","250258000,00"
27,Binance Coin,BNB,2017-08-21 23:59:59,"2,91","2,43","2,43","2,70","72000600,00","270111000,00"
28,Binance Coin,BNB,2017-08-22 23:59:59,"2,72","2,22","2,72","2,49","52091300,00","248527000,00"
29,Binance Coin,BNB,2017-08-23 23:59:59,"2,96","2,47","2,47","2,58","64925100,00","258043000,00"
30,Binance Coin,BNB,2017-08-24 23:59:59,"2,66","2,28","2,63","2,38","45080400,00","237932000,00"
31,Binance Coin,BNB,2017-08-25 23:59:59,"2,73","2,39","2,39","2,50","49977600,00","249687000,00"
32,Binance Coin,BNB,2017-08-26 23:59:59,"2,54","1,96","2,53","2,17","26690700,00","216936000,00"
33,Binance Coin,BNB,2017-08-27 23:59:59,"2,31","1,86","2,18","2,01","17214900,00","200519000,00"
34,Binance Coin,BNB,2017-08-28 23:59:59,"2,17","1,96","2,02","2,04","15413900,00","204290000,00"
35,Binance Coin,BNB,2017-08-29 23:59:59,"2,33","1,99","2,11","2,33","20372000,00","232758000,00"
36,Binance Coin,BNB,2017-08-30 23:59:59,"2,37","2,09","2,28","2,35","24830000,00","235005000,00"
37,Binance Coin,BNB,2017-08-31 23:59:59,"2,41","2,20","2,33","2,20","20214800,00","220379000,00"
