SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Bitcoin,BTC,2013-04-29 23:59:59,"147,49","134,00","134,44","144,54","0,00","1603768864,50"
2,Bitcoin,BTC,2013-04-30 23:59:59,"146,93","134,05","144,00","139,00","0,00","1542813125,00"
3,Bitcoin,BTC,2013-05-01 23:59:59,"139,89","107,72","139,00","116,99","0,00","1298954593,75"
4,Bitcoin,BTC,2013-05-02 23:59:59,"125,60","92,28","116,38","105,21","0,00","1168517495,25"
5,Bitcoin,BTC,2013-05-03 23:59:59,"108,13","79,10","106,25","97,75","0,00","1085995168,75"
6,Bitcoin,BTC,2013-05-04 23:59:59,"115,00","92,50","98,10","112,50","0,00","1250316562,50"
7,Bitcoin,BTC,2013-05-05 23:59:59,"118,80","107,14","112,90","115,91","0,00","1288693175,50"
8,Bitcoin,BTC,2013-05-06 23:59:59,"124,66","106,64","115,98","112,30","0,00","1249023060,00"
9,Bitcoin,BTC,2013-05-07 23:59:59,"113,44","97,70","112,25","111,50","0,00","1240593600,00"
10,Bitcoin,BTC,2013-05-08 23:59:59,"115,78","109,60","109,60","113,57","0,00","1264049202,15"
11,Bitcoin,BTC,2013-05-09 23:59:59,"113,46","109,26","113,20","112,67","0,00","1254535382,00"
12,Bitcoin,BTC,2013-05-10 23:59:59,"122,00","111,55","112,80","117,20","0,00","1305479080,00"
13,Bitcoin,BTC,2013-05-11 23:59:59,"118,68","113,01","117,70","115,24","0,00","1284207489,42"
14,Bitcoin,BTC,2013-05-12 23:59:59,"117,45","113,43","115,64","115,00","0,00","1281982625,00"
15,Bitcoin,BTC,2013-05-13 23:59:59,"118,70","114,50","114,82","117,98","0,00","1315710010,50"
16,Bitcoin,BTC,2013-05-14 23:59:59,"119,80","110,25","117,98","111,50","0,00","1243874487,50"
17,Bitcoin,BTC,2013-05-15 23:59:59,"115,81","103,50","111,40","114,22","0,00","1274623812,50"
18,Bitcoin,BTC,2013-05-16 23:59:59,"118,76","112,20","114,22","118,76","0,00","1325726787,00"
19,Bitcoin,BTC,2013-05-17 23:59:59,"125,30","116,57","118,21","123,01","0,00","1373723881,88"
20,Bitcoin,BTC,2013-05-18 23:59:59,"125,25","122,30","123,50","123,50","0,00","1379574545,85"
21,Bitcoin,BTC,2013-05-19 23:59:59,"124,50","119,57","123,21","121,99","0,00","1363204702,75"
22,Bitcoin,BTC,2013-05-20 23:59:59,"123,62","120,12","122,50","122,00","0,00","1363709900,00"
23,Bitcoin,BTC,2013-05-21 23:59:59,"123,00","121,21","122,02","122,88","0,00","1374013440,00"
24,Bitcoin,BTC,2013-05-22 23:59:59,"124,00","122,00","122,89","123,89","0,00","1385778992,85"
25,Bitcoin,BTC,2013-05-23 23:59:59,"126,93","123,10","123,80","126,70","0,00","1417769832,50"
26,Bitcoin,BTC,2013-05-24 23:59:59,"133,85","125,72","126,30","133,20","0,00","1491070770,00"
27,Bitcoin,BTC,2013-05-25 23:59:59,"133,22","128,90","133,10","131,98","0,00","1477958233,00"
28,Bitcoin,BTC,2013-05-26 23:59:59,"136,00","130,62","131,99","133,48","0,00","1495293015,00"
29,Bitcoin,BTC,2013-05-27 23:59:59,"135,46","124,70","133,50","129,74","0,00","1454029509,62"
30,Bitcoin,BTC,2013-05-28 23:59:59,"130,58","125,60","129,77","129,00","0,00","1446189975,00"
31,Bitcoin,BTC,2013-05-29 23:59:59,"132,59","127,66","129,00","132,30","0,00","1483734577,50"
32,Bitcoin,BTC,2013-05-30 23:59:59,"132,25","127,00","132,25","128,80","0,00","1445053940,55"
33,Bitcoin,BTC,2013-05-31 23:59:59,"129,90","126,40","128,80","129,00","0,00","1447870200,00"
34,Bitcoin,BTC,2013-06-01 23:59:59,"129,78","127,20","128,82","129,30","0,00","1451916165,00"
35,Bitcoin,BTC,2013-06-02 23:59:59,"129,40","115,05","129,30","122,29","0,00","1373837499,90"
36,Bitcoin,BTC,2013-06-03 23:59:59,"122,50","116,00","122,50","122,22","0,00","1373708057,90"
37,Bitcoin,BTC,2013-06-04 23:59:59,"123,84","119,10","120,74","121,42","0,00","1365337545,00"
38,Bitcoin,BTC,2013-06-05 23:59:59,"123,47","119,90","121,40","121,65","0,00","1368486468,75"
39,Bitcoin,BTC,2013-06-06 23:59:59,"123,10","117,25","121,90","118,00","0,00","1327960200,00"
40,Bitcoin,BTC,2013-06-07 23:59:59,"119,00","106,42","118,97","111,50","0,00","1255258637,50"
