SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Chainlink,LINK,2017-09-21 23:59:59,"0,21","0,16","0,19","0,17","2126270,00","59388000,00"
2,Chainlink,LINK,2017-09-22 23:59:59,"0,18","0,14","0,17","0,15","1423220,00","52676050,00"
3,Chainlink,LINK,2017-09-23 23:59:59,"0,16","0,13","0,15","0,13","1186670,00","45895150,00"
4,Chainlink,LINK,2017-09-24 23:59:59,"0,19","0,13","0,13","0,17","1025740,00","59597300,00"
5,Chainlink,LINK,2017-09-25 23:59:59,"0,18","0,16","0,17","0,18","1021370,00","63769300,00"
6,Chainlink,LINK,2017-09-26 23:59:59,"0,22","0,18","0,18","0,19","1319050,00","68235300,00"
7,Chainlink,LINK,2017-09-27 23:59:59,"0,21","0,19","0,19","0,19","1097010,00","68105100,00"
8,Chainlink,LINK,2017-09-28 23:59:59,"0,28","0,19","0,19","0,24","8113680,00","85328250,00"
9,Chainlink,LINK,2017-09-29 23:59:59,"0,33","0,21","0,25","0,31","8896430,00","107954000,00"
10,Chainlink,LINK,2017-09-30 23:59:59,"0,47","0,30","0,31","0,45","23440700,00","157977400,00"
11,Chainlink,LINK,2017-10-01 23:59:59,"0,45","0,38","0,45","0,44","10005100,00","152826450,00"
12,Chainlink,LINK,2017-10-02 23:59:59,"0,44","0,36","0,44","0,36","7101340,00","124868450,00"
13,Chainlink,LINK,2017-10-03 23:59:59,"0,37","0,30","0,37","0,35","8211990,00","120937250,00"
14,Chainlink,LINK,2017-10-04 23:59:59,"0,40","0,34","0,34","0,40","7604930,00","139076350,00"
15,Chainlink,LINK,2017-10-05 23:59:59,"0,42","0,38","0,40","0,41","6291110,00","142288300,00"
16,Chainlink,LINK,2017-10-06 23:59:59,"0,49","0,40","0,41","0,48","12167500,00","166517750,00"
17,Chainlink,LINK,2017-10-07 23:59:59,"0,48","0,42","0,47","0,46","7408570,00","162279950,00"
18,Chainlink,LINK,2017-10-08 23:59:59,"0,47","0,36","0,46","0,40","7203350,00","138997950,00"
19,Chainlink,LINK,2017-10-09 23:59:59,"0,44","0,36","0,40","0,38","6781680,00","133206150,00"
20,Chainlink,LINK,2017-10-10 23:59:59,"0,43","0,36","0,38","0,41","7138890,00","142614150,00"
21,Chainlink,LINK,2017-10-11 23:59:59,"0,45","0,41","0,42","0,45","5477860,00","157662050,00"
22,Chainlink,LINK,2017-10-12 23:59:59,"0,48","0,42","0,45","0,44","8959280,00","155403850,00"
23,Chainlink,LINK,2017-10-13 23:59:59,"0,47","0,41","0,44","0,43","7521630,00","152111050,00"
