SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Cosmos,ATOM,2019-03-15 23:59:59,"7,72","6,43","6,63","7,50","6057301,37","0,00"
2,Cosmos,ATOM,2019-03-16 23:59:59,"8,31","6,69","7,51","7,38","3477392,64","0,00"
3,Cosmos,ATOM,2019-03-17 23:59:59,"7,36","4,73","7,36","4,78","2653565,21","0,00"
4,Cosmos,ATOM,2019-03-18 23:59:59,"5,23","4,83","4,83","5,11","2567200,53","0,00"
5,Cosmos,ATOM,2019-03-19 23:59:59,"5,21","4,79","5,10","4,82","3891084,29","0,00"
6,Cosmos,ATOM,2019-03-20 23:59:59,"4,84","3,87","4,82","4,38","3934420,91","0,00"
7,Cosmos,ATOM,2019-03-21 23:59:59,"4,42","3,59","4,42","3,63","3901346,46","0,00"
8,Cosmos,ATOM,2019-03-22 23:59:59,"3,63","3,29","3,63","3,50","4680808,38","0,00"
9,Cosmos,ATOM,2019-03-23 23:59:59,"3,53","3,34","3,51","3,45","4409796,93","0,00"
10,Cosmos,ATOM,2019-03-24 23:59:59,"3,88","3,43","3,45","3,77","3928802,86","0,00"
11,Cosmos,ATOM,2019-03-25 23:59:59,"3,96","3,66","3,75","3,78","4661791,17","0,00"
12,Cosmos,ATOM,2019-03-26 23:59:59,"3,83","3,48","3,76","3,74","6463760,14","0,00"
13,Cosmos,ATOM,2019-03-27 23:59:59,"3,83","3,60","3,75","3,78","7031766,59","0,00"
14,Cosmos,ATOM,2019-03-28 23:59:59,"3,79","3,48","3,77","3,49","6030319,86","0,00"
15,Cosmos,ATOM,2019-03-29 23:59:59,"3,55","3,41","3,49","3,54","4012185,12","0,00"
16,Cosmos,ATOM,2019-03-30 23:59:59,"3,56","3,38","3,54","3,47","3370884,26","0,00"
17,Cosmos,ATOM,2019-03-31 23:59:59,"3,63","3,44","3,47","3,62","3945618,42","0,00"
18,Cosmos,ATOM,2019-04-01 23:59:59,"3,87","3,60","3,61","3,73","4158589,48","0,00"
19,Cosmos,ATOM,2019-04-02 23:59:59,"3,83","3,61","3,76","3,79","5365042,91","0,00"
20,Cosmos,ATOM,2019-04-03 23:59:59,"3,93","3,66","3,79","3,77","5083727,06","0,00"
21,Cosmos,ATOM,2019-04-04 23:59:59,"3,83","3,70","3,76","3,75","5321012,48","0,00"
22,Cosmos,ATOM,2019-04-05 23:59:59,"3,84","3,67","3,74","3,81","5415803,08","0,00"
23,Cosmos,ATOM,2019-04-06 23:59:59,"4,46","3,77","3,81","4,45","4623456,35","0,00"
24,Cosmos,ATOM,2019-04-07 23:59:59,"4,89","4,34","4,47","4,62","4191618,53","0,00"
25,Cosmos,ATOM,2019-04-08 23:59:59,"5,85","4,62","4,63","5,45","4041529,77","0,00"
26,Cosmos,ATOM,2019-04-09 23:59:59,"5,47","3,80","5,45","3,84","5205817,00","0,00"
27,Cosmos,ATOM,2019-04-10 23:59:59,"4,18","3,67","3,80","3,75","4666417,08","0,00"
28,Cosmos,ATOM,2019-04-11 23:59:59,"3,86","3,48","3,77","3,51","5287619,36","0,00"
29,Cosmos,ATOM,2019-04-12 23:59:59,"4,33","3,48","3,52","4,31","4766004,35","0,00"
30,Cosmos,ATOM,2019-04-13 23:59:59,"4,47","4,17","4,30","4,30","4074111,87","0,00"
31,Cosmos,ATOM,2019-04-14 23:59:59,"4,49","4,12","4,30","4,46","4087544,87","0,00"
32,Cosmos,ATOM,2019-04-15 23:59:59,"4,49","4,29","4,46","4,35","4043797,75","0,00"
33,Cosmos,ATOM,2019-04-16 23:59:59,"4,48","4,27","4,34","4,42","6687900,34","0,00"
34,Cosmos,ATOM,2019-04-17 23:59:59,"4,44","4,29","4,36","4,35","5040510,38","0,00"
35,Cosmos,ATOM,2019-04-18 23:59:59,"4,42","4,27","4,34","4,36","3962743,12","0,00"
36,Cosmos,ATOM,2019-04-19 23:59:59,"4,90","4,30","4,36","4,88","5806996,88","0,00"
37,Cosmos,ATOM,2019-04-20 23:59:59,"5,44","4,86","4,87","5,44","4130470,93","0,00"
38,Cosmos,ATOM,2019-04-21 23:59:59,"5,48","4,65","5,40","5,22","4423092,45","0,00"
39,Cosmos,ATOM,2019-04-22 23:59:59,"6,95","4,24","5,17","4,38","14693545,43","0,00"
40,Cosmos,ATOM,2019-04-23 23:59:59,"5,31","4,11","4,38","4,12","69288592,62","0,00"
41,Cosmos,ATOM,2019-04-24 23:59:59,"4,15","3,10","4,12","3,64","51989409,86","0,00"
42,Cosmos,ATOM,2019-04-25 23:59:59,"3,78","3,23","3,69","3,30","38575975,20","0,00"
43,Cosmos,ATOM,2019-04-26 23:59:59,"3,77","3,19","3,30","3,63","36448157,57","0,00"
44,Cosmos,ATOM,2019-04-27 23:59:59,"3,67","3,39","3,64","3,43","24145209,77","0,00"
45,Cosmos,ATOM,2019-04-28 23:59:59,"5,14","3,40","3,44","4,43","88477197,26","0,00"
46,Cosmos,ATOM,2019-04-29 23:59:59,"4,67","3,70","4,46","3,75","86344115,31","0,00"
47,Cosmos,ATOM,2019-04-30 23:59:59,"4,04","3,75","3,75","3,94","53924932,89","750753657,40"
48,Cosmos,ATOM,2019-05-01 23:59:59,"4,60","3,92","3,94","4,39","90528587,53","837145852,02"
49,Cosmos,ATOM,2019-05-02 23:59:59,"4,62","4,23","4,39","4,59","83803870,64","876148069,72"
50,Cosmos,ATOM,2019-05-03 23:59:59,"5,34","4,57","4,59","5,31","161847460,63","1012716790,19"
51,Cosmos,ATOM,2019-05-04 23:59:59,"5,58","4,79","5,31","5,26","164883490,16","1003019650,15"
52,Cosmos,ATOM,2019-05-05 23:59:59,"5,26","4,79","5,26","4,85","68292314,74","925545510,95"
53,Cosmos,ATOM,2019-05-06 23:59:59,"4,86","4,52","4,85","4,73","63030289,75","901075803,76"
54,Cosmos,ATOM,2019-05-07 23:59:59,"5,03","4,61","4,73","4,61","58235752,11","879746036,89"
55,Cosmos,ATOM,2019-05-08 23:59:59,"4,60","4,27","4,60","4,35","60816519,61","830417396,61"
56,Cosmos,ATOM,2019-05-09 23:59:59,"4,47","3,53","4,37","3,90","76347150,85","742999857,31"
57,Cosmos,ATOM,2019-05-10 23:59:59,"4,11","3,69","3,90","3,83","53606616,81","730892431,52"
58,Cosmos,ATOM,2019-05-11 23:59:59,"4,17","3,73","3,83","4,02","72859936,58","766144178,14"
59,Cosmos,ATOM,2019-05-12 23:59:59,"4,06","3,71","4,00","3,77","45901518,22","719467337,35"
60,Cosmos,ATOM,2019-05-13 23:59:59,"4,15","3,76","3,77","3,94","63138771,60","750725693,20"
61,Cosmos,ATOM,2019-05-14 23:59:59,"4,10","3,83","3,95","4,00","68024772,11","762416114,93"
62,Cosmos,ATOM,2019-05-15 23:59:59,"4,62","3,99","4,00","4,53","81407357,46","863640970,48"
63,Cosmos,ATOM,2019-05-16 23:59:59,"4,77","4,04","4,53","4,28","76583312,86","815780282,58"
64,Cosmos,ATOM,2019-05-17 23:59:59,"4,79","3,95","4,27","4,40","117708947,49","838349085,08"
65,Cosmos,ATOM,2019-05-18 23:59:59,"4,97","4,35","4,40","4,71","72187065,61","898848812,68"
66,Cosmos,ATOM,2019-05-19 23:59:59,"5,17","4,65","4,71","4,89","82033955,56","933280007,49"
67,Cosmos,ATOM,2019-05-20 23:59:59,"4,91","4,54","4,89","4,72","69473607,07","900946943,59"
68,Cosmos,ATOM,2019-05-21 23:59:59,"4,81","4,55","4,71","4,78","57280910,92","910643796,68"
69,Cosmos,ATOM,2019-05-22 23:59:59,"4,80","4,36","4,78","4,36","53427876,73","831229997,09"
70,Cosmos,ATOM,2019-05-23 23:59:59,"4,37","4,13","4,35","4,34","50139060,34","826634619,25"
71,Cosmos,ATOM,2019-05-24 23:59:59,"4,77","4,28","4,34","4,47","82477988,97","852940374,15"
72,Cosmos,ATOM,2019-05-25 23:59:59,"4,61","4,35","4,47","4,42","43392192,37","843739242,75"
73,Cosmos,ATOM,2019-05-26 23:59:59,"4,55","4,29","4,42","4,51","49349631,95","859734892,88"
74,Cosmos,ATOM,2019-05-27 23:59:59,"4,71","4,52","4,52","4,67","75962592,52","890485476,14"
75,Cosmos,ATOM,2019-05-28 23:59:59,"4,82","4,51","4,67","4,76","56441565,31","908066009,25"
76,Cosmos,ATOM,2019-05-29 23:59:59,"4,81","4,51","4,76","4,69","52450619,85","894188261,72"
77,Cosmos,ATOM,2019-05-30 23:59:59,"6,54","4,69","4,69","5,94","272876291,25","1132682950,78"
78,Cosmos,ATOM,2019-05-31 23:59:59,"5,95","5,28","5,94","5,81","136736662,09","1108478181,39"
79,Cosmos,ATOM,2019-06-01 23:59:59,"6,30","5,69","5,81","5,78","125167746,71","1102188614,15"
80,Cosmos,ATOM,2019-06-02 23:59:59,"6,36","5,60","5,78","6,36","84717217,80","1212264015,78"
81,Cosmos,ATOM,2019-06-03 23:59:59,"7,25","6,08","6,36","6,61","212229620,01","1260884793,11"
82,Cosmos,ATOM,2019-06-04 23:59:59,"6,84","5,81","6,61","5,92","129719690,68","1128755550,92"
83,Cosmos,ATOM,2019-06-05 23:59:59,"6,29","5,69","5,94","6,18","93898670,08","1179222070,88"
84,Cosmos,ATOM,2019-06-06 23:59:59,"6,18","5,68","6,18","6,06","78003589,63","1155320475,58"
85,Cosmos,ATOM,2019-06-07 23:59:59,"6,58","5,94","6,06","6,34","101407236,78","1208838508,84"
86,Cosmos,ATOM,2019-06-08 23:59:59,"6,35","5,98","6,34","6,14","50257189,62","1170516442,84"
87,Cosmos,ATOM,2019-06-09 23:59:59,"6,19","5,71","6,14","5,87","49629336,64","1119797047,08"
88,Cosmos,ATOM,2019-06-10 23:59:59,"6,11","5,77","5,86","6,11","61495899,46","1164854311,01"
89,Cosmos,ATOM,2019-06-11 23:59:59,"6,17","5,81","6,11","5,98","53676890,69","1141014439,54"
90,Cosmos,ATOM,2019-06-12 23:59:59,"6,27","5,90","5,98","6,13","63690195,43","1169221849,72"
91,Cosmos,ATOM,2019-06-13 23:59:59,"6,52","6,08","6,13","6,29","67900351,52","1198829419,39"
92,Cosmos,ATOM,2019-06-14 23:59:59,"6,30","5,95","6,29","6,30","68909618,77","1201222632,53"
93,Cosmos,ATOM,2019-06-15 23:59:59,"6,30","6,12","6,30","6,20","51688148,42","1182396920,26"
94,Cosmos,ATOM,2019-06-16 23:59:59,"6,74","6,16","6,20","6,74","70784039,41","1285689467,57"
95,Cosmos,ATOM,2019-06-17 23:59:59,"7,10","6,48","6,74","7,02","81971935,49","1338109287,56"
96,Cosmos,ATOM,2019-06-18 23:59:59,"7,04","6,50","7,01","6,59","58369435,27","1255871810,37"
97,Cosmos,ATOM,2019-06-19 23:59:59,"6,81","6,58","6,59","6,65","44465849,94","1267886254,42"
98,Cosmos,ATOM,2019-06-20 23:59:59,"6,69","6,31","6,64","6,50","62912912,61","1238685540,34"
99,Cosmos,ATOM,2019-06-21 23:59:59,"6,59","6,36","6,50","6,52","64958852,02","1242446023,48"
100,Cosmos,ATOM,2019-06-22 23:59:59,"6,92","6,51","6,52","6,69","82497464,66","1276004798,13"
101,Cosmos,ATOM,2019-06-23 23:59:59,"7,15","6,63","6,69","6,80","68464562,04","1297201137,51"
102,Cosmos,ATOM,2019-06-24 23:59:59,"6,82","6,54","6,80","6,64","58307067,42","1266089570,60"
103,Cosmos,ATOM,2019-06-25 23:59:59,"6,73","6,48","6,64","6,58","75054340,38","1254641357,05"
104,Cosmos,ATOM,2019-06-26 23:59:59,"6,83","6,20","6,58","6,31","115261167,73","1202661456,61"
105,Cosmos,ATOM,2019-06-27 23:59:59,"6,38","5,31","6,31","5,47","138471352,86","1042914728,87"
106,Cosmos,ATOM,2019-06-28 23:59:59,"5,96","5,38","5,47","5,92","100518290,48","1129171143,93"
107,Cosmos,ATOM,2019-06-29 23:59:59,"6,16","5,62","5,92","6,08","86786957,68","1159300177,47"
108,Cosmos,ATOM,2019-06-30 23:59:59,"6,11","5,41","6,08","5,41","83453263,96","1032279303,96"
