SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,EOS,EOS,2017-07-02 23:59:59,"2,88","0,82","1,00","2,71","320452000,00","0,00"
2,EOS,EOS,2017-07-03 23:59:59,"5,40","2,63","2,72","4,09","414950016,00","654930710,73"
3,EOS,EOS,2017-07-04 23:59:59,"4,19","2,93","4,10","3,37","218559008,00","550155156,98"
4,EOS,EOS,2017-07-05 23:59:59,"3,52","2,73","3,36","3,00","124339000,00","500626421,88"
5,EOS,EOS,2017-07-06 23:59:59,"3,87","3,01","3,01","3,36","177463008,00","568361515,18"
6,EOS,EOS,2017-07-07 23:59:59,"3,35","2,71","3,35","2,80","96596496,00","481139483,25"
7,EOS,EOS,2017-07-08 23:59:59,"2,90","2,09","2,82","2,59","151162000,00","489397506,52"
8,EOS,EOS,2017-07-09 23:59:59,"2,69","2,19","2,60","2,29","87525104,00","472683189,62"
9,EOS,EOS,2017-07-10 23:59:59,"2,39","1,72","2,25","1,83","79608800,00","381951141,02"
10,EOS,EOS,2017-07-11 23:59:59,"1,82","1,42","1,79","1,66","111023000,00","348448760,78"
11,EOS,EOS,2017-07-12 23:59:59,"2,09","1,54","1,64","2,07","104621000,00","440930500,38"
12,EOS,EOS,2017-07-13 23:59:59,"2,13","1,71","2,08","1,74","51203900,00","373156762,41"
13,EOS,EOS,2017-07-14 23:59:59,"1,77","1,54","1,73","1,55","41025200,00","337481682,01"
14,EOS,EOS,2017-07-15 23:59:59,"1,55","1,30","1,55","1,30","34208800,00","286962321,78"
15,EOS,EOS,2017-07-16 23:59:59,"1,35","1,19","1,29","1,25","30802800,00","278730236,32"
16,EOS,EOS,2017-07-17 23:59:59,"1,57","1,25","1,25","1,54","62295100,00","344935476,11"
17,EOS,EOS,2017-07-18 23:59:59,"1,75","1,48","1,54","1,70","58108000,00","383913353,09"
18,EOS,EOS,2017-07-19 23:59:59,"1,79","1,54","1,70","1,56","55057600,00","355988648,98"
19,EOS,EOS,2017-07-20 23:59:59,"1,76","1,57","1,57","1,74","45949800,00","401980352,92"
20,EOS,EOS,2017-07-21 23:59:59,"2,02","1,73","1,76","1,82","58164900,00","422992712,98"
21,EOS,EOS,2017-07-22 23:59:59,"2,00","1,81","1,82","1,96","41809000,00","459569043,31"
22,EOS,EOS,2017-07-23 23:59:59,"2,14","1,74","1,96","1,87","60205000,00","441892481,00"
23,EOS,EOS,2017-07-24 23:59:59,"1,95","1,82","1,88","1,87","36585400,00","448035488,47"
24,EOS,EOS,2017-07-25 23:59:59,"1,89","1,55","1,88","1,65","42547000,00","397191785,26"
25,EOS,EOS,2017-07-26 23:59:59,"1,74","1,47","1,64","1,74","48693200,00","422142814,10"
26,EOS,EOS,2017-07-27 23:59:59,"1,98","1,73","1,75","1,95","69371696,00","478828804,24"
27,EOS,EOS,2017-07-28 23:59:59,"2,01","1,85","1,96","1,85","64730400,00","456314167,53"
28,EOS,EOS,2017-07-29 23:59:59,"1,84","1,66","1,83","1,83","44021100,00","456657339,99"
29,EOS,EOS,2017-07-30 23:59:59,"1,84","1,71","1,83","1,78","27580200,00","448515327,48"
30,EOS,EOS,2017-07-31 23:59:59,"1,79","1,71","1,77","1,74","29657700,00","441239071,24"
31,EOS,EOS,2017-08-01 23:59:59,"1,81","1,68","1,75","1,78","39175500,00","455131357,01"
32,EOS,EOS,2017-08-02 23:59:59,"1,82","1,76","1,78","1,78","28880800,00","458117403,41"
33,EOS,EOS,2017-08-03 23:59:59,"1,81","1,75","1,78","1,80","25878000,00","468308118,37"
34,EOS,EOS,2017-08-04 23:59:59,"1,85","1,80","1,80","1,81","34183300,00","472252294,58"
35,EOS,EOS,2017-08-05 23:59:59,"1,98","1,76","1,80","1,91","52324800,00","503269011,15"
36,EOS,EOS,2017-08-06 23:59:59,"1,90","1,72","1,90","1,74","38436700,00","463462640,35"
37,EOS,EOS,2017-08-07 23:59:59,"1,83","1,71","1,73","1,81","46022400,00","487115008,88"
38,EOS,EOS,2017-08-08 23:59:59,"2,04","1,79","1,81","1,88","76270800,00","509761999,10"
39,EOS,EOS,2017-08-09 23:59:59,"1,95","1,81","1,88","1,83","36813700,00","500066742,60"
40,EOS,EOS,2017-08-10 23:59:59,"1,89","1,83","1,83","1,83","43519300,00","502700731,49"
41,EOS,EOS,2017-08-11 23:59:59,"1,87","1,77","1,83","1,79","49178400,00","495512659,47"
42,EOS,EOS,2017-08-12 23:59:59,"1,82","1,66","1,79","1,67","38131800,00","466348454,76"
43,EOS,EOS,2017-08-13 23:59:59,"1,68","1,58","1,67","1,62","40514200,00","455024880,28"
44,EOS,EOS,2017-08-14 23:59:59,"1,67","1,54","1,61","1,66","39205300,00","470416145,25"
45,EOS,EOS,2017-08-15 23:59:59,"1,81","1,59","1,66","1,65","58304700,00","470283316,55"
46,EOS,EOS,2017-08-16 23:59:59,"1,64","1,59","1,64","1,60","24022000,00","459649947,01"
47,EOS,EOS,2017-08-17 23:59:59,"1,61","1,52","1,60","1,55","25713300,00","447917223,40"
48,EOS,EOS,2017-08-18 23:59:59,"1,54","1,40","1,54","1,42","26841700,00","414574831,15"
49,EOS,EOS,2017-08-19 23:59:59,"1,44","1,32","1,42","1,40","24769900,00","412400642,69"
50,EOS,EOS,2017-08-20 23:59:59,"1,42","1,36","1,40","1,37","15673200,00","405019822,44"
51,EOS,EOS,2017-08-21 23:59:59,"1,38","1,33","1,37","1,34","20152300,00","399079603,86"
52,EOS,EOS,2017-08-22 23:59:59,"1,34","1,26","1,34","1,28","23774300,00","384648800,00"
53,EOS,EOS,2017-08-23 23:59:59,"1,53","1,28","1,29","1,41","36567800,00","425313611,68"
54,EOS,EOS,2017-08-24 23:59:59,"1,42","1,35","1,41","1,38","18034600,00","418857292,69"
55,EOS,EOS,2017-08-25 23:59:59,"1,43","1,35","1,38","1,38","20444500,00","420934596,42"
56,EOS,EOS,2017-08-26 23:59:59,"1,39","1,35","1,38","1,36","16466000,00","418393423,30"
57,EOS,EOS,2017-08-27 23:59:59,"1,37","1,34","1,36","1,35","18124100,00","416977794,96"
58,EOS,EOS,2017-08-28 23:59:59,"1,36","1,32","1,35","1,34","18414400,00","416213299,12"
59,EOS,EOS,2017-08-29 23:59:59,"1,35","1,31","1,34","1,31","18993200,00","412685992,26"
60,EOS,EOS,2017-08-30 23:59:59,"1,33","1,19","1,31","1,23","24068700,00","389118207,72"
61,EOS,EOS,2017-08-31 23:59:59,"1,33","1,22","1,23","1,30","22926100,00","413604781,62"
62,EOS,EOS,2017-09-01 23:59:59,"1,33","1,26","1,30","1,30","25853000,00","417868423,79"
63,EOS,EOS,2017-09-02 23:59:59,"1,43","1,19","1,30","1,23","38741300,00","398523489,91"
64,EOS,EOS,2017-09-03 23:59:59,"1,29","1,18","1,24","1,25","22618600,00","407130717,94"
65,EOS,EOS,2017-09-04 23:59:59,"1,25","0,79","1,25","0,85","43045400,00","278105196,66"
66,EOS,EOS,2017-09-05 23:59:59,"0,92","0,71","0,85","0,88","30273900,00","290402035,48"
67,EOS,EOS,2017-09-06 23:59:59,"1,07","0,85","0,89","0,91","26208300,00","302392063,83"
68,EOS,EOS,2017-09-07 23:59:59,"1,00","0,85","0,92","0,98","22912100,00","325037443,45"
69,EOS,EOS,2017-09-08 23:59:59,"0,98","0,77","0,98","0,83","18650200,00","278401663,66"
70,EOS,EOS,2017-09-09 23:59:59,"0,83","0,75","0,83","0,79","10281100,00","266289736,44"
71,EOS,EOS,2017-09-10 23:59:59,"0,81","0,71","0,79","0,74","9494440,00","250216301,16"
72,EOS,EOS,2017-09-11 23:59:59,"0,75","0,72","0,74","0,73","7763470,00","248502483,76"
73,EOS,EOS,2017-09-12 23:59:59,"0,85","0,73","0,73","0,84","15475800,00","285709556,34"
74,EOS,EOS,2017-09-13 23:59:59,"0,84","0,67","0,84","0,73","12370500,00","250375030,73"
75,EOS,EOS,2017-09-14 23:59:59,"0,75","0,57","0,73","0,60","13131300,00","208513620,99"
76,EOS,EOS,2017-09-15 23:59:59,"0,68","0,52","0,60","0,66","13121900,00","230972183,14"
77,EOS,EOS,2017-09-16 23:59:59,"0,69","0,61","0,67","0,63","5602950,00","219247764,71"
78,EOS,EOS,2017-09-17 23:59:59,"0,67","0,58","0,62","0,65","8685770,00","227895848,22"
79,EOS,EOS,2017-09-18 23:59:59,"0,71","0,65","0,65","0,70","9065170,00","249084834,77"
80,EOS,EOS,2017-09-19 23:59:59,"0,71","0,65","0,71","0,65","5520750,00","232015328,77"
81,EOS,EOS,2017-09-20 23:59:59,"0,65","0,61","0,65","0,61","6087520,00","218859651,45"
82,EOS,EOS,2017-09-21 23:59:59,"0,62","0,54","0,62","0,55","6972060,00","196678456,79"
