SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Ethereum,ETH,2015-08-08 23:59:59,"2,80","0,71","2,79","0,75","674188,00","45486894,24"
2,Ethereum,ETH,2015-08-09 23:59:59,"0,88","0,63","0,71","0,70","532170,00","42399573,50"
3,Ethereum,ETH,2015-08-10 23:59:59,"0,73","0,64","0,71","0,71","405283,00","42818364,39"
4,Ethereum,ETH,2015-08-11 23:59:59,"1,13","0,66","0,71","1,07","1463100,00","64569288,43"
5,Ethereum,ETH,2015-08-12 23:59:59,"1,29","0,88","1,06","1,22","2150620,00","73645010,99"
6,Ethereum,ETH,2015-08-13 23:59:59,"1,97","1,17","1,22","1,83","4068680,00","110607191,67"
7,Ethereum,ETH,2015-08-14 23:59:59,"2,26","1,75","1,81","1,83","4637030,00","110672321,81"
8,Ethereum,ETH,2015-08-15 23:59:59,"1,88","1,57","1,80","1,69","2554360,00","102303608,47"
9,Ethereum,ETH,2015-08-16 23:59:59,"1,70","1,09","1,68","1,57","3550790,00","94901005,35"
10,Ethereum,ETH,2015-08-17 23:59:59,"1,58","1,19","1,58","1,20","1942830,00","87295366,50"
11,Ethereum,ETH,2015-08-18 23:59:59,"1,33","1,09","1,22","1,09","1485680,00","78868413,08"
12,Ethereum,ETH,2015-08-19 23:59:59,"1,32","1,17","1,17","1,26","1486240,00","91366391,44"
13,Ethereum,ETH,2015-08-20 23:59:59,"1,53","1,25","1,25","1,46","2843760,00","106351420,18"
14,Ethereum,ETH,2015-08-21 23:59:59,"1,56","1,35","1,48","1,40","2020970,00","101331855,60"
15,Ethereum,ETH,2015-08-22 23:59:59,"1,48","1,35","1,40","1,38","948310,00","100201825,66"
16,Ethereum,ETH,2015-08-23 23:59:59,"1,41","1,30","1,38","1,35","1589300,00","98300351,35"
17,Ethereum,ETH,2015-08-24 23:59:59,"1,36","1,23","1,35","1,23","924920,00","89515256,55"
18,Ethereum,ETH,2015-08-25 23:59:59,"1,24","1,13","1,23","1,14","1307180,00","82922632,91"
19,Ethereum,ETH,2015-08-26 23:59:59,"1,20","1,06","1,13","1,16","1056750,00","84390923,54"
20,Ethereum,ETH,2015-08-27 23:59:59,"1,19","1,14","1,17","1,15","686662,00","83524585,39"
21,Ethereum,ETH,2015-08-28 23:59:59,"1,21","1,12","1,15","1,19","721872,00","86731076,64"
22,Ethereum,ETH,2015-08-29 23:59:59,"1,21","1,15","1,19","1,18","375377,00","86113894,69"
23,Ethereum,ETH,2015-08-30 23:59:59,"1,37","1,17","1,18","1,32","1337650,00","96097349,11"
24,Ethereum,ETH,2015-08-31 23:59:59,"1,40","1,20","1,32","1,36","1447180,00","98963974,90"
25,Ethereum,ETH,2015-09-01 23:59:59,"1,39","1,34","1,35","1,35","778862,00","98507500,05"
26,Ethereum,ETH,2015-09-02 23:59:59,"1,35","1,26","1,35","1,29","883769,00","94389544,25"
27,Ethereum,ETH,2015-09-03 23:59:59,"1,31","1,21","1,30","1,26","702991,00","92234142,48"
28,Ethereum,ETH,2015-09-04 23:59:59,"1,30","1,24","1,26","1,27","474391,00","92953700,98"
29,Ethereum,ETH,2015-09-05 23:59:59,"1,34","1,27","1,28","1,34","448453,00","97683882,54"
30,Ethereum,ETH,2015-09-06 23:59:59,"1,37","1,29","1,34","1,30","491968,00","94580163,79"
31,Ethereum,ETH,2015-09-07 23:59:59,"1,31","1,24","1,30","1,25","489014,00","91020734,55"
32,Ethereum,ETH,2015-09-08 23:59:59,"1,28","1,23","1,25","1,24","427892,00","90743242,50"
33,Ethereum,ETH,2015-09-09 23:59:59,"1,26","1,20","1,24","1,21","366748,00","88150124,71"
34,Ethereum,ETH,2015-09-10 23:59:59,"1,22","1,14","1,21","1,17","662782,00","85202731,66"
35,Ethereum,ETH,2015-09-11 23:59:59,"1,17","0,94","1,16","0,98","1942600,00","71868264,58"
36,Ethereum,ETH,2015-09-12 23:59:59,"1,11","0,97","0,99","1,04","772430,00","75971273,15"
37,Ethereum,ETH,2015-09-13 23:59:59,"1,04","0,90","1,04","0,94","644138,00","68480586,72"
38,Ethereum,ETH,2015-09-14 23:59:59,"0,95","0,87","0,94","0,88","741085,00","64084134,62"
39,Ethereum,ETH,2015-09-15 23:59:59,"1,05","0,88","0,88","0,94","703390,00","69141408,75"
40,Ethereum,ETH,2015-09-16 23:59:59,"0,95","0,90","0,94","0,91","615593,00","66437873,29"
41,Ethereum,ETH,2015-09-17 23:59:59,"0,91","0,83","0,91","0,87","897940,00","64046215,95"
42,Ethereum,ETH,2015-09-18 23:59:59,"0,89","0,83","0,87","0,85","484622,00","62561883,08"
43,Ethereum,ETH,2015-09-19 23:59:59,"0,91","0,83","0,85","0,88","386988,00","64687992,00"
44,Ethereum,ETH,2015-09-20 23:59:59,"0,95","0,87","0,88","0,94","508314,00","68822183,06"
45,Ethereum,ETH,2015-09-21 23:59:59,"0,96","0,88","0,94","0,92","424039,00","67422915,09"
46,Ethereum,ETH,2015-09-22 23:59:59,"0,92","0,87","0,92","0,90","487914,00","66180153,10"
47,Ethereum,ETH,2015-09-23 23:59:59,"0,91","0,89","0,90","0,89","200541,00","65587498,98"
48,Ethereum,ETH,2015-09-24 23:59:59,"0,91","0,79","0,90","0,81","842505,00","59749887,52"
49,Ethereum,ETH,2015-09-25 23:59:59,"0,83","0,71","0,82","0,74","903457,00","54085581,31"
50,Ethereum,ETH,2015-09-26 23:59:59,"0,79","0,71","0,74","0,79","369620,00","57759115,39"
51,Ethereum,ETH,2015-09-27 23:59:59,"0,79","0,72","0,79","0,72","413801,00","52990396,22"
52,Ethereum,ETH,2015-09-28 23:59:59,"0,73","0,56","0,72","0,58","1320890,00","42863006,10"
