SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,IOTA,MIOTA,2017-06-14 23:59:59,"0,61","0,50","0,59","0,53","14194900,00","1470138039,16"
2,IOTA,MIOTA,2017-06-15 23:59:59,"0,54","0,30","0,53","0,36","10300400,00","1010806762,25"
3,IOTA,MIOTA,2017-06-16 23:59:59,"0,45","0,31","0,35","0,41","6920690,00","1141711520,45"
4,IOTA,MIOTA,2017-06-17 23:59:59,"0,44","0,41","0,43","0,42","3100660,00","1167141443,01"
5,IOTA,MIOTA,2017-06-18 23:59:59,"0,43","0,39","0,42","0,41","2514450,00","1128105719,72"
6,IOTA,MIOTA,2017-06-19 23:59:59,"0,42","0,39","0,41","0,41","3543640,00","1145675130,64"
7,IOTA,MIOTA,2017-06-20 23:59:59,"0,42","0,40","0,41","0,42","3755470,00","1163216746,25"
8,IOTA,MIOTA,2017-06-21 23:59:59,"0,44","0,41","0,42","0,41","3999810,00","1149466409,94"
9,IOTA,MIOTA,2017-06-22 23:59:59,"0,43","0,41","0,41","0,42","2343320,00","1161126539,48"
10,IOTA,MIOTA,2017-06-23 23:59:59,"0,48","0,41","0,42","0,48","3768560,00","1336703908,40"
11,IOTA,MIOTA,2017-06-24 23:59:59,"0,64","0,48","0,48","0,51","19215500,00","1425648877,45"
12,IOTA,MIOTA,2017-06-25 23:59:59,"0,53","0,45","0,51","0,47","5012890,00","1308994771,01"
13,IOTA,MIOTA,2017-06-26 23:59:59,"0,47","0,35","0,47","0,40","9101080,00","1118588608,03"
14,IOTA,MIOTA,2017-06-27 23:59:59,"0,42","0,35","0,41","0,39","4411090,00","1090323564,58"
15,IOTA,MIOTA,2017-06-28 23:59:59,"0,40","0,36","0,40","0,38","4704400,00","1053819993,38"
16,IOTA,MIOTA,2017-06-29 23:59:59,"0,46","0,36","0,38","0,42","5324020,00","1161282193,18"
17,IOTA,MIOTA,2017-06-30 23:59:59,"0,45","0,40","0,42","0,40","5044270,00","1116234345,88"
18,IOTA,MIOTA,2017-07-01 23:59:59,"0,41","0,38","0,40","0,39","2334640,00","1082988384,17"
19,IOTA,MIOTA,2017-07-02 23:59:59,"0,40","0,37","0,39","0,38","2971770,00","1062472671,15"
20,IOTA,MIOTA,2017-07-03 23:59:59,"0,38","0,36","0,38","0,38","3873180,00","1045489741,12"
21,IOTA,MIOTA,2017-07-04 23:59:59,"0,41","0,37","0,37","0,40","3933710,00","1101778008,88"
22,IOTA,MIOTA,2017-07-05 23:59:59,"0,40","0,37","0,40","0,38","3061100,00","1056582846,48"
23,IOTA,MIOTA,2017-07-06 23:59:59,"0,38","0,32","0,38","0,35","8218370,00","983620176,55"
24,IOTA,MIOTA,2017-07-07 23:59:59,"0,36","0,27","0,36","0,28","8804780,00","790957034,98"
25,IOTA,MIOTA,2017-07-08 23:59:59,"0,32","0,28","0,29","0,31","3273950,00","849188194,41"
26,IOTA,MIOTA,2017-07-09 23:59:59,"0,31","0,29","0,30","0,30","2474500,00","841889147,89"
27,IOTA,MIOTA,2017-07-10 23:59:59,"0,30","0,19","0,30","0,22","8233640,00","603327622,76"
28,IOTA,MIOTA,2017-07-11 23:59:59,"0,23","0,19","0,21","0,19","6946200,00","521428762,97"
29,IOTA,MIOTA,2017-07-12 23:59:59,"0,24","0,18","0,19","0,23","4646480,00","635839788,48"
30,IOTA,MIOTA,2017-07-13 23:59:59,"0,24","0,19","0,23","0,21","4129150,00","596456623,90"
31,IOTA,MIOTA,2017-07-14 23:59:59,"0,21","0,16","0,21","0,18","3347860,00","487390635,12"
32,IOTA,MIOTA,2017-07-15 23:59:59,"0,18","0,15","0,18","0,16","3913220,00","441078101,55"
33,IOTA,MIOTA,2017-07-16 23:59:59,"0,19","0,16","0,16","0,18","4178170,00","503033831,56"
34,IOTA,MIOTA,2017-07-17 23:59:59,"0,28","0,18","0,18","0,26","15254300,00","731308315,11"
35,IOTA,MIOTA,2017-07-18 23:59:59,"0,31","0,25","0,26","0,27","11433600,00","743079625,86"
36,IOTA,MIOTA,2017-07-19 23:59:59,"0,28","0,23","0,27","0,23","6339730,00","645440286,08"
37,IOTA,MIOTA,2017-07-20 23:59:59,"0,30","0,23","0,23","0,29","10332500,00","812901426,57"
38,IOTA,MIOTA,2017-07-21 23:59:59,"0,31","0,26","0,29","0,26","6344870,00","734168451,77"
39,IOTA,MIOTA,2017-07-22 23:59:59,"0,28","0,25","0,26","0,27","4107430,00","759873547,83"
40,IOTA,MIOTA,2017-07-23 23:59:59,"0,28","0,26","0,27","0,27","3065860,00","747893772,31"
41,IOTA,MIOTA,2017-07-24 23:59:59,"0,27","0,24","0,27","0,27","4502060,00","740597505,32"
42,IOTA,MIOTA,2017-07-25 23:59:59,"0,27","0,24","0,27","0,25","2917500,00","696141697,97"
43,IOTA,MIOTA,2017-07-26 23:59:59,"0,28","0,24","0,25","0,27","4626790,00","763253456,65"
44,IOTA,MIOTA,2017-07-27 23:59:59,"0,29","0,28","0,28","0,28","3343540,00","765668868,47"
45,IOTA,MIOTA,2017-07-28 23:59:59,"0,28","0,26","0,27","0,27","2884740,00","736903509,57"
46,IOTA,MIOTA,2017-07-29 23:59:59,"0,28","0,25","0,27","0,28","2788270,00","764898938,58"
47,IOTA,MIOTA,2017-07-30 23:59:59,"0,28","0,25","0,28","0,25","3165840,00","708182623,15"
48,IOTA,MIOTA,2017-07-31 23:59:59,"0,26","0,25","0,26","0,25","2563820,00","708035308,05"
49,IOTA,MIOTA,2017-08-01 23:59:59,"0,30","0,25","0,26","0,29","5169910,00","806675278,73"
50,IOTA,MIOTA,2017-08-02 23:59:59,"0,29","0,27","0,29","0,29","3439800,00","795268086,45"
51,IOTA,MIOTA,2017-08-03 23:59:59,"0,34","0,28","0,29","0,33","8239810,00","923782448,62"
52,IOTA,MIOTA,2017-08-04 23:59:59,"0,42","0,33","0,33","0,39","20179000,00","1087591286,31"
53,IOTA,MIOTA,2017-08-05 23:59:59,"0,43","0,36","0,39","0,41","9091140,00","1133992764,86"
54,IOTA,MIOTA,2017-08-06 23:59:59,"0,44","0,40","0,41","0,43","6276510,00","1198372245,27"
55,IOTA,MIOTA,2017-08-07 23:59:59,"0,49","0,42","0,43","0,47","14717700,00","1319101143,12"
56,IOTA,MIOTA,2017-08-08 23:59:59,"0,55","0,46","0,47","0,55","21988500,00","1522173625,59"
57,IOTA,MIOTA,2017-08-09 23:59:59,"0,56","0,51","0,55","0,54","13294400,00","1510196629,60"
58,IOTA,MIOTA,2017-08-10 23:59:59,"0,59","0,51","0,54","0,57","16602500,00","1574481605,99"
59,IOTA,MIOTA,2017-08-11 23:59:59,"0,71","0,56","0,57","0,65","43618800,00","1820236555,49"
60,IOTA,MIOTA,2017-08-12 23:59:59,"0,73","0,63","0,66","0,72","20358000,00","2005528382,74"
61,IOTA,MIOTA,2017-08-13 23:59:59,"0,83","0,72","0,72","0,81","41198400,00","2245062743,47"
62,IOTA,MIOTA,2017-08-14 23:59:59,"0,98","0,79","0,81","0,98","54630900,00","2713944486,44"
63,IOTA,MIOTA,2017-08-15 23:59:59,"1,00","0,77","0,98","0,92","84698304,00","2551467043,75"
64,IOTA,MIOTA,2017-08-16 23:59:59,"1,05","0,88","0,91","1,05","52081500,00","2905192847,09"
65,IOTA,MIOTA,2017-08-17 23:59:59,"1,10","1,00","1,04","1,02","58209300,00","2824169539,34"
66,IOTA,MIOTA,2017-08-18 23:59:59,"1,03","0,77","1,01","0,87","58053400,00","2418599937,16"
67,IOTA,MIOTA,2017-08-19 23:59:59,"0,99","0,78","0,87","0,98","39975500,00","2719828752,05"
68,IOTA,MIOTA,2017-08-20 23:59:59,"1,02","0,94","0,97","0,94","29447600,00","2618887330,29"
69,IOTA,MIOTA,2017-08-21 23:59:59,"0,94","0,84","0,91","0,91","32558600,00","2519002130,04"
70,IOTA,MIOTA,2017-08-22 23:59:59,"0,90","0,79","0,90","0,84","26333800,00","2345298164,54"
71,IOTA,MIOTA,2017-08-23 23:59:59,"0,94","0,83","0,84","0,85","27418300,00","2363631946,28"
72,IOTA,MIOTA,2017-08-24 23:59:59,"0,90","0,81","0,85","0,90","17132900,00","2487960335,84"
73,IOTA,MIOTA,2017-08-25 23:59:59,"0,93","0,84","0,89","0,92","18226300,00","2556153331,81"
74,IOTA,MIOTA,2017-08-26 23:59:59,"0,97","0,88","0,92","0,96","16623100,00","2674500172,20"
75,IOTA,MIOTA,2017-08-27 23:59:59,"0,98","0,89","0,96","0,92","17816000,00","2558143475,49"
76,IOTA,MIOTA,2017-08-28 23:59:59,"0,93","0,78","0,92","0,88","24288200,00","2432636565,09"
77,IOTA,MIOTA,2017-08-29 23:59:59,"0,88","0,75","0,88","0,81","28538500,00","2256870188,11"
78,IOTA,MIOTA,2017-08-30 23:59:59,"0,88","0,79","0,81","0,87","17428100,00","2417210172,02"
79,IOTA,MIOTA,2017-08-31 23:59:59,"0,90","0,83","0,87","0,84","15194300,00","2341543019,13"
80,IOTA,MIOTA,2017-09-01 23:59:59,"0,88","0,77","0,84","0,81","28047000,00","2245243412,94"
81,IOTA,MIOTA,2017-09-02 23:59:59,"0,80","0,66","0,80","0,70","39333900,00","1933293949,75"
82,IOTA,MIOTA,2017-09-03 23:59:59,"0,78","0,67","0,70","0,74","29504600,00","2067881585,58"
83,IOTA,MIOTA,2017-09-04 23:59:59,"0,74","0,41","0,74","0,57","74601296,00","1574526078,47"
84,IOTA,MIOTA,2017-09-05 23:59:59,"0,65","0,47","0,54","0,61","45817500,00","1704088323,55"
85,IOTA,MIOTA,2017-09-06 23:59:59,"0,75","0,60","0,61","0,74","33093300,00","2061474768,28"
86,IOTA,MIOTA,2017-09-07 23:59:59,"0,74","0,62","0,74","0,65","31377000,00","1794903916,49"
87,IOTA,MIOTA,2017-09-08 23:59:59,"0,66","0,49","0,65","0,54","48691600,00","1502266629,70"
88,IOTA,MIOTA,2017-09-09 23:59:59,"0,58","0,52","0,53","0,56","15317400,00","1558785598,48"
89,IOTA,MIOTA,2017-09-10 23:59:59,"0,57","0,46","0,56","0,50","32733100,00","1377554664,97"
