SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Litecoin,LTC,2013-04-29 23:59:59,"4,57","4,23","4,37","4,38","0,00","75388963,84"
2,Litecoin,LTC,2013-04-30 23:59:59,"4,57","4,17","4,40","4,30","0,00","74020917,91"
3,Litecoin,LTC,2013-05-01 23:59:59,"4,36","3,52","4,29","3,80","0,00","65604596,38"
4,Litecoin,LTC,2013-05-02 23:59:59,"4,04","3,01","3,78","3,37","0,00","58287978,84"
5,Litecoin,LTC,2013-05-03 23:59:59,"3,45","2,40","3,39","3,04","0,00","52694847,07"
6,Litecoin,LTC,2013-05-04 23:59:59,"3,64","2,90","3,03","3,48","0,00","60290867,72"
7,Litecoin,LTC,2013-05-05 23:59:59,"3,69","3,35","3,49","3,59","0,00","62298185,43"
8,Litecoin,LTC,2013-05-06 23:59:59,"3,78","3,12","3,59","3,37","0,00","58594361,23"
9,Litecoin,LTC,2013-05-07 23:59:59,"3,41","2,94","3,37","3,33","0,00","58051265,04"
10,Litecoin,LTC,2013-05-08 23:59:59,"3,49","3,28","3,28","3,41","0,00","59508216,02"
11,Litecoin,LTC,2013-05-09 23:59:59,"3,44","3,29","3,40","3,42","0,00","59755569,09"
12,Litecoin,LTC,2013-05-10 23:59:59,"3,63","3,37","3,41","3,44","0,00","60358926,66"
13,Litecoin,LTC,2013-05-11 23:59:59,"3,48","3,30","3,46","3,35","0,00","58809512,55"
14,Litecoin,LTC,2013-05-12 23:59:59,"3,42","3,22","3,36","3,27","0,00","57513319,98"
15,Litecoin,LTC,2013-05-13 23:59:59,"3,37","3,20","3,26","3,28","0,00","57790879,20"
16,Litecoin,LTC,2013-05-14 23:59:59,"3,33","2,78","3,28","2,82","0,00","49847567,58"
17,Litecoin,LTC,2013-05-15 23:59:59,"3,04","2,64","2,82","2,94","0,00","51891652,21"
18,Litecoin,LTC,2013-05-16 23:59:59,"2,97","2,69","2,93","2,92","0,00","51685880,34"
19,Litecoin,LTC,2013-05-17 23:59:59,"3,34","2,87","2,89","3,19","0,00","56498073,73"
20,Litecoin,LTC,2013-05-18 23:59:59,"3,36","3,13","3,20","3,29","0,00","58518793,71"
21,Litecoin,LTC,2013-05-19 23:59:59,"3,41","3,19","3,30","3,30","0,00","58760676,41"
22,Litecoin,LTC,2013-05-20 23:59:59,"3,32","3,15","3,31","3,18","0,00","56682748,95"
23,Litecoin,LTC,2013-05-21 23:59:59,"3,22","3,04","3,19","3,09","0,00","55073034,16"
24,Litecoin,LTC,2013-05-22 23:59:59,"3,14","3,03","3,09","3,12","0,00","55766901,42"
25,Litecoin,LTC,2013-05-23 23:59:59,"3,19","3,09","3,12","3,18","0,00","56949220,37"
26,Litecoin,LTC,2013-05-24 23:59:59,"3,19","3,04","3,17","3,18","0,00","57017468,58"
27,Litecoin,LTC,2013-05-25 23:59:59,"3,20","3,05","3,19","3,12","0,00","56026342,72"
28,Litecoin,LTC,2013-05-26 23:59:59,"3,33","3,09","3,12","3,25","0,00","58457958,03"
29,Litecoin,LTC,2013-05-27 23:59:59,"3,26","3,02","3,23","3,10","0,00","55882131,70"
30,Litecoin,LTC,2013-05-28 23:59:59,"3,13","3,02","3,10","3,09","0,00","55813731,90"
