SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Monero,XMR,2014-05-22 23:59:59,"2,19","1,36","1,59","2,10","132918,00","1855607,93"
2,Monero,XMR,2014-05-23 23:59:59,"3,43","2,05","2,05","2,96","266852,00","2692180,34"
3,Monero,XMR,2014-05-24 23:59:59,"4,01","2,62","2,92","3,70","248028,00","3456657,53"
4,Monero,XMR,2014-05-25 23:59:59,"4,04","2,80","4,04","3,14","283545,00","2993339,42"
5,Monero,XMR,2014-05-26 23:59:59,"3,76","2,31","3,22","3,02","220148,00","2946133,32"
6,Monero,XMR,2014-05-27 23:59:59,"3,03","2,07","3,03","2,21","97602,60","2199815,54"
7,Monero,XMR,2014-05-28 23:59:59,"2,85","1,91","2,24","2,27","177716,00","2315317,60"
8,Monero,XMR,2014-05-29 23:59:59,"2,49","1,68","2,21","1,68","109157,00","1742651,61"
9,Monero,XMR,2014-05-30 23:59:59,"1,87","1,08","1,68","1,57","119296,00","1667566,08"
10,Monero,XMR,2014-05-31 23:59:59,"2,28","1,41","1,58","1,94","117399,00","2113584,59"
11,Monero,XMR,2014-06-01 23:59:59,"2,57","1,54","1,94","1,74","130602,00","1934458,59"
12,Monero,XMR,2014-06-02 23:59:59,"1,94","1,60","1,76","1,73","47671,70","1964406,65"
13,Monero,XMR,2014-06-03 23:59:59,"2,10","1,65","1,73","1,93","91331,60","2238383,44"
14,Monero,XMR,2014-06-04 23:59:59,"1,99","1,71","1,93","1,81","51886,40","2136582,88"
15,Monero,XMR,2014-06-06 23:59:59,"1,51","1,17","1,46","1,24","100635,00","1524539,04"
16,Monero,XMR,2014-06-07 23:59:59,"1,69","1,21","1,24","1,36","44187,00","1702749,95"
17,Monero,XMR,2014-06-08 23:59:59,"1,44","1,24","1,36","1,34","40633,60","1701813,01"
18,Monero,XMR,2014-06-09 23:59:59,"1,64","1,27","1,33","1,52","56500,20","1976718,64"
19,Monero,XMR,2014-06-10 23:59:59,"2,39","1,31","1,48","1,73","182599,00","2281223,83"
20,Monero,XMR,2014-06-11 23:59:59,"2,17","1,53","1,72","1,62","85735,30","2177570,76"
21,Monero,XMR,2014-06-12 23:59:59,"2,17","1,53","1,62","1,74","108619,00","2371183,55"
22,Monero,XMR,2014-06-13 23:59:59,"1,96","1,62","1,65","1,92","84237,00","2674776,91"
23,Monero,XMR,2014-06-14 23:59:59,"2,82","1,88","1,93","2,34","276919,00","3312123,08"
24,Monero,XMR,2014-06-15 23:59:59,"2,75","2,25","2,32","2,69","150652,00","3863688,49"
25,Monero,XMR,2014-06-16 23:59:59,"3,55","2,62","2,72","3,18","438776,00","4648756,48"
26,Monero,XMR,2014-06-17 23:59:59,"3,31","2,72","3,15","2,82","228445,00","4180469,28"
27,Monero,XMR,2014-06-18 23:59:59,"2,98","2,46","2,90","2,79","183102,00","4201539,80"
