SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,NEM,XEM,2015-04-02 23:59:59,"0,00","0,00","0,00","0,00","28549,40","2823534,00"
2,NEM,XEM,2015-04-03 23:59:59,"0,00","0,00","0,00","0,00","20677,90","2792457,00"
3,NEM,XEM,2015-04-04 23:59:59,"0,00","0,00","0,00","0,00","23550,20","2488770,00"
4,NEM,XEM,2015-04-05 23:59:59,"0,00","0,00","0,00","0,00","26800,20","2087388,00"
5,NEM,XEM,2015-04-06 23:59:59,"0,00","0,00","0,00","0,00","22511,50","2598354,00"
6,NEM,XEM,2015-04-07 23:59:59,"0,00","0,00","0,00","0,00","14437,00","2164689,00"
7,NEM,XEM,2015-04-08 23:59:59,"0,00","0,00","0,00","0,00","6932,85","2050830,00"
8,NEM,XEM,2015-04-09 23:59:59,"0,00","0,00","0,00","0,00","10013,60","2017638,00"
9,NEM,XEM,2015-04-10 23:59:59,"0,00","0,00","0,00","0,00","16846,00","1572237,00"
10,NEM,XEM,2015-04-11 23:59:59,"0,00","0,00","0,00","0,00","22845,90","1470060,00"
11,NEM,XEM,2015-04-12 23:59:59,"0,00","0,00","0,00","0,00","5568,89","1317735,00"
12,NEM,XEM,2015-04-13 23:59:59,"0,00","0,00","0,00","0,00","11803,10","1253196,00"
13,NEM,XEM,2015-04-14 23:59:59,"0,00","0,00","0,00","0,00","14653,90","1380699,00"
14,NEM,XEM,2015-04-15 23:59:59,"0,00","0,00","0,00","0,00","8196,10","1390896,00"
15,NEM,XEM,2015-04-16 23:59:59,"0,00","0,00","0,00","0,00","5316,90","1471320,00"
16,NEM,XEM,2015-04-17 23:59:59,"0,00","0,00","0,00","0,00","4556,29","1503207,00"
17,NEM,XEM,2015-04-18 23:59:59,"0,00","0,00","0,00","0,00","9116,91","1268361,00"
18,NEM,XEM,2015-04-19 23:59:59,"0,00","0,00","0,00","0,00","7192,89","1324080,00"
19,NEM,XEM,2015-04-20 23:59:59,"0,00","0,00","0,00","0,00","6680,68","1194210,00"
20,NEM,XEM,2015-04-21 23:59:59,"0,00","0,00","0,00","0,00","3911,73","1231380,00"
21,NEM,XEM,2015-04-22 23:59:59,"0,00","0,00","0,00","0,00","2352,53","1245240,00"
22,NEM,XEM,2015-04-23 23:59:59,"0,00","0,00","0,00","0,00","2116,94","1236573,00"
23,NEM,XEM,2015-04-24 23:59:59,"0,00","0,00","0,00","0,00","3058,47","1345545,00"
24,NEM,XEM,2015-04-25 23:59:59,"0,00","0,00","0,00","0,00","2480,39","1263753,00"
25,NEM,XEM,2015-04-26 23:59:59,"0,00","0,00","0,00","0,00","2073,56","1206045,00"
26,NEM,XEM,2015-04-27 23:59:59,"0,00","0,00","0,00","0,00","6659,64","1464858,00"
27,NEM,XEM,2015-04-28 23:59:59,"0,00","0,00","0,00","0,00","3357,99","1339155,00"
28,NEM,XEM,2015-04-29 23:59:59,"0,00","0,00","0,00","0,00","2013,32","1324836,00"
29,NEM,XEM,2015-04-30 23:59:59,"0,00","0,00","0,00","0,00","958,80","1414224,00"
30,NEM,XEM,2015-05-01 23:59:59,"0,00","0,00","0,00","0,00","692,37","1400067,00"
31,NEM,XEM,2015-05-02 23:59:59,"0,00","0,00","0,00","0,00","1542,92","1395918,00"
32,NEM,XEM,2015-05-03 23:59:59,"0,00","0,00","0,00","0,00","4417,16","1340712,00"
33,NEM,XEM,2015-05-04 23:59:59,"0,00","0,00","0,00","0,00","2595,37","1356786,00"
34,NEM,XEM,2015-05-05 23:59:59,"0,00","0,00","0,00","0,00","3974,44","1269405,00"
35,NEM,XEM,2015-05-06 23:59:59,"0,00","0,00","0,00","0,00","1124,71","1282617,00"
36,NEM,XEM,2015-05-07 23:59:59,"0,00","0,00","0,00","0,00","2475,30","1408167,00"
37,NEM,XEM,2015-05-08 23:59:59,"0,00","0,00","0,00","0,00","1043,18","1397295,00"
38,NEM,XEM,2015-05-09 23:59:59,"0,00","0,00","0,00","0,00","623,43","1349874,00"
39,NEM,XEM,2015-05-10 23:59:59,"0,00","0,00","0,00","0,00","1774,12","1362645,00"
40,NEM,XEM,2015-05-11 23:59:59,"0,00","0,00","0,00","0,00","3366,70","1394829,00"
41,NEM,XEM,2015-05-12 23:59:59,"0,00","0,00","0,00","0,00","4764,88","1482237,00"
42,NEM,XEM,2015-05-13 23:59:59,"0,00","0,00","0,00","0,00","4187,47","1428561,00"
43,NEM,XEM,2015-05-14 23:59:59,"0,00","0,00","0,00","0,00","1647,41","1439811,00"
44,NEM,XEM,2015-05-15 23:59:59,"0,00","0,00","0,00","0,00","1260,36","1474227,00"
45,NEM,XEM,2015-05-16 23:59:59,"0,00","0,00","0,00","0,00","4958,02","1399959,00"
46,NEM,XEM,2015-05-17 23:59:59,"0,00","0,00","0,00","0,00","1048,95","1437048,00"
47,NEM,XEM,2015-05-18 23:59:59,"0,00","0,00","0,00","0,00","12652,90","1518885,00"
48,NEM,XEM,2015-05-19 23:59:59,"0,00","0,00","0,00","0,00","9162,78","1534743,00"
49,NEM,XEM,2015-05-20 23:59:59,"0,00","0,00","0,00","0,00","8927,91","1545777,00"
50,NEM,XEM,2015-05-21 23:59:59,"0,00","0,00","0,00","0,00","7585,99","1549953,00"
51,NEM,XEM,2015-05-22 23:59:59,"0,00","0,00","0,00","0,00","4135,55","1597392,00"
52,NEM,XEM,2015-05-23 23:59:59,"0,00","0,00","0,00","0,00","4559,67","1593450,00"
53,NEM,XEM,2015-05-24 23:59:59,"0,00","0,00","0,00","0,00","5675,35","1638657,00"
54,NEM,XEM,2015-05-25 23:59:59,"0,00","0,00","0,00","0,00","6871,36","1599642,00"
55,NEM,XEM,2015-05-26 23:59:59,"0,00","0,00","0,00","0,00","3845,36","1646001,00"
56,NEM,XEM,2015-05-27 23:59:59,"0,00","0,00","0,00","0,00","8659,32","1777239,00"
57,NEM,XEM,2015-05-28 23:59:59,"0,00","0,00","0,00","0,00","7217,15","1763253,00"
58,NEM,XEM,2015-05-29 23:59:59,"0,00","0,00","0,00","0,00","7998,86","1650537,00"
59,NEM,XEM,2015-05-30 23:59:59,"0,00","0,00","0,00","0,00","7227,63","1668699,00"
60,NEM,XEM,2015-05-31 23:59:59,"0,00","0,00","0,00","0,00","4683,81","1590264,00"
61,NEM,XEM,2015-06-01 23:59:59,"0,00","0,00","0,00","0,00","3524,62","1531035,00"
62,NEM,XEM,2015-06-02 23:59:59,"0,00","0,00","0,00","0,00","5642,07","1604808,00"
