SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Polkadot,DOT,2020-08-21 23:59:59,"3,09","2,73","2,90","2,88","49313136,83","0,00"
2,Polkadot,DOT,2020-08-22 23:59:59,"4,51","2,82","2,88","4,48","485801095,85","0,00"
3,Polkadot,DOT,2020-08-23 23:59:59,"4,49","3,72","4,49","3,97","320749483,24","0,00"
4,Polkadot,DOT,2020-08-24 23:59:59,"4,78","3,81","3,99","4,60","407690170,88","0,00"
5,Polkadot,DOT,2020-08-25 23:59:59,"5,76","4,50","4,58","5,52","898847538,46","0,00"
6,Polkadot,DOT,2020-08-26 23:59:59,"6,55","5,14","5,54","6,08","1054351759,40","0,00"
7,Polkadot,DOT,2020-08-27 23:59:59,"6,79","5,31","6,08","5,63","1289248953,26","0,00"
8,Polkadot,DOT,2020-08-28 23:59:59,"6,33","5,54","5,64","6,16","727162235,01","0,00"
9,Polkadot,DOT,2020-08-29 23:59:59,"6,56","6,04","6,18","6,16","527290028,29","0,00"
10,Polkadot,DOT,2020-08-30 23:59:59,"6,22","5,75","6,15","5,87","485335136,16","0,00"
11,Polkadot,DOT,2020-08-31 23:59:59,"6,46","5,77","5,91","6,30","512604781,46","0,00"
12,Polkadot,DOT,2020-09-01 23:59:59,"6,84","6,17","6,30","6,29","601527408,60","0,00"
13,Polkadot,DOT,2020-09-02 23:59:59,"6,43","5,66","6,28","6,14","584155027,67","5234800947,38"
14,Polkadot,DOT,2020-09-03 23:59:59,"6,32","5,68","6,13","5,75","763663456,73","4900906249,03"
15,Polkadot,DOT,2020-09-04 23:59:59,"5,98","4,63","5,73","5,15","845787793,24","4387757398,23"
16,Polkadot,DOT,2020-09-05 23:59:59,"5,31","3,65","5,14","4,12","805800384,88","3514880375,01"
17,Polkadot,DOT,2020-09-06 23:59:59,"4,90","3,76","4,14","4,80","924160481,88","4092255324,16"
18,Polkadot,DOT,2020-09-07 23:59:59,"4,82","4,03","4,80","4,59","675375182,71","3917633675,15"
19,Polkadot,DOT,2020-09-08 23:59:59,"4,62","4,12","4,59","4,27","519440288,07","3644492936,27"
20,Polkadot,DOT,2020-09-09 23:59:59,"4,80","4,16","4,28","4,71","534097093,86","4015065990,66"
21,Polkadot,DOT,2020-09-10 23:59:59,"4,87","4,47","4,71","4,58","633577673,91","3906477359,17"
22,Polkadot,DOT,2020-09-11 23:59:59,"4,75","4,32","4,58","4,65","633472139,87","3961031724,18"
23,Polkadot,DOT,2020-09-12 23:59:59,"5,28","4,52","4,65","5,14","753745736,55","4380082750,89"
24,Polkadot,DOT,2020-09-13 23:59:59,"5,48","4,81","5,15","5,30","1099475714,13","4517285669,33"
25,Polkadot,DOT,2020-09-14 23:59:59,"5,60","5,13","5,30","5,35","1008259712,12","4560564713,56"
26,Polkadot,DOT,2020-09-15 23:59:59,"5,45","5,10","5,37","5,10","897864383,94","4344841940,61"
27,Polkadot,DOT,2020-09-16 23:59:59,"5,28","4,99","5,07","5,08","792360520,60","4331724982,69"
28,Polkadot,DOT,2020-09-17 23:59:59,"5,42","5,06","5,08","5,34","776350363,03","4549984896,09"
29,Polkadot,DOT,2020-09-18 23:59:59,"5,46","5,11","5,34","5,25","683398179,63","4472788248,79"
30,Polkadot,DOT,2020-09-19 23:59:59,"5,26","4,82","5,25","4,93","605268040,06","4199640090,85"
31,Polkadot,DOT,2020-09-20 23:59:59,"4,97","4,42","4,93","4,67","798507890,72","3983952931,60"
32,Polkadot,DOT,2020-09-21 23:59:59,"4,70","3,95","4,67","4,09","1096736656,95","3491249077,07"
33,Polkadot,DOT,2020-09-22 23:59:59,"4,21","3,92","4,09","4,17","673117343,73","3559346334,82"
34,Polkadot,DOT,2020-09-23 23:59:59,"4,32","3,97","4,17","4,03","557062766,18","3437376885,78"
35,Polkadot,DOT,2020-09-24 23:59:59,"4,40","3,99","4,02","4,38","437573445,65","3736279268,46"
36,Polkadot,DOT,2020-09-25 23:59:59,"4,53","4,26","4,38","4,42","425191119,26","3769516670,96"
37,Polkadot,DOT,2020-09-26 23:59:59,"4,46","4,24","4,42","4,35","329745176,11","3707023756,04"
38,Polkadot,DOT,2020-09-27 23:59:59,"4,36","4,16","4,34","4,31","316361927,42","3675151411,96"
39,Polkadot,DOT,2020-09-28 23:59:59,"4,58","4,27","4,30","4,40","543507456,46","3749825720,83"
40,Polkadot,DOT,2020-09-29 23:59:59,"4,60","4,36","4,42","4,50","508965929,31","3837300168,02"
41,Polkadot,DOT,2020-09-30 23:59:59,"4,50","4,25","4,50","4,35","378446619,74","3708830409,39"
42,Polkadot,DOT,2020-10-01 23:59:59,"4,58","4,26","4,35","4,34","445143707,89","3703757887,08"
43,Polkadot,DOT,2020-10-02 23:59:59,"4,36","3,93","4,34","4,12","554916297,43","3515619342,00"
44,Polkadot,DOT,2020-10-03 23:59:59,"4,13","4,04","4,13","4,07","361964763,25","3470315783,61"
45,Polkadot,DOT,2020-10-04 23:59:59,"4,20","4,02","4,07","4,17","286356968,57","3558875853,01"
46,Polkadot,DOT,2020-10-05 23:59:59,"4,23","4,12","4,18","4,17","332264663,82","3557842898,48"
47,Polkadot,DOT,2020-10-06 23:59:59,"4,18","3,65","4,17","3,76","662270710,92","3202682677,05"
48,Polkadot,DOT,2020-10-07 23:59:59,"3,88","3,62","3,75","3,86","629063455,77","3290194893,42"
49,Polkadot,DOT,2020-10-08 23:59:59,"4,16","3,66","3,86","4,10","614223110,62","3498108576,12"
50,Polkadot,DOT,2020-10-09 23:59:59,"4,35","4,02","4,11","4,26","491506581,93","3634383221,17"
