SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Solana,SOL,2020-04-11 23:59:59,"1,05","0,77","0,95","0,78","43862443,79","0,00"
2,Solana,SOL,2020-04-12 23:59:59,"0,96","0,76","0,79","0,88","38736897,02","0,00"
3,Solana,SOL,2020-04-13 23:59:59,"0,89","0,77","0,89","0,78","18211285,47","0,00"
4,Solana,SOL,2020-04-14 23:59:59,"0,80","0,63","0,78","0,66","16747614,12","0,00"
5,Solana,SOL,2020-04-15 23:59:59,"0,70","0,62","0,67","0,65","13075275,29","0,00"
6,Solana,SOL,2020-04-16 23:59:59,"0,77","0,63","0,63","0,69","21346031,35","0,00"
7,Solana,SOL,2020-04-17 23:59:59,"0,72","0,66","0,69","0,66","9870810,00","0,00"
8,Solana,SOL,2020-04-18 23:59:59,"0,72","0,66","0,66","0,68","9782111,90","0,00"
9,Solana,SOL,2020-04-19 23:59:59,"0,68","0,60","0,68","0,61","9289670,38","0,00"
10,Solana,SOL,2020-04-20 23:59:59,"0,64","0,52","0,61","0,54","8342616,42","0,00"
11,Solana,SOL,2020-04-21 23:59:59,"0,60","0,51","0,54","0,59","9711507,45","0,00"
12,Solana,SOL,2020-04-22 23:59:59,"0,71","0,57","0,58","0,69","18828399,52","0,00"
13,Solana,SOL,2020-04-23 23:59:59,"0,70","0,60","0,69","0,63","13485271,05","0,00"
14,Solana,SOL,2020-04-24 23:59:59,"0,67","0,61","0,62","0,63","9064190,27","0,00"
15,Solana,SOL,2020-04-25 23:59:59,"0,67","0,62","0,63","0,64","7311904,72","0,00"
16,Solana,SOL,2020-04-26 23:59:59,"0,69","0,63","0,65","0,64","8320760,36","0,00"
17,Solana,SOL,2020-04-27 23:59:59,"0,66","0,56","0,64","0,57","7406934,11","0,00"
18,Solana,SOL,2020-04-28 23:59:59,"0,69","0,57","0,58","0,66","7470201,22","0,00"
19,Solana,SOL,2020-04-29 23:59:59,"0,78","0,66","0,66","0,75","8801144,48","0,00"
20,Solana,SOL,2020-04-30 23:59:59,"0,80","0,69","0,75","0,69","5016891,64","0,00"
21,Solana,SOL,2020-05-01 23:59:59,"0,74","0,69","0,69","0,73","4164272,07","0,00"
22,Solana,SOL,2020-05-02 23:59:59,"0,75","0,71","0,73","0,72","3441355,74","0,00"
23,Solana,SOL,2020-05-03 23:59:59,"0,73","0,66","0,71","0,68","3328343,61","0,00"
24,Solana,SOL,2020-05-04 23:59:59,"0,71","0,62","0,68","0,67","3443697,82","0,00"
25,Solana,SOL,2020-05-05 23:59:59,"0,69","0,63","0,67","0,64","2847469,34","0,00"
26,Solana,SOL,2020-05-06 23:59:59,"0,67","0,62","0,64","0,62","2677562,97","0,00"
27,Solana,SOL,2020-05-07 23:59:59,"0,63","0,57","0,62","0,61","3355830,24","0,00"
28,Solana,SOL,2020-05-08 23:59:59,"0,64","0,59","0,61","0,60","2488194,57","0,00"
29,Solana,SOL,2020-05-09 23:59:59,"0,63","0,59","0,60","0,60","2128502,76","0,00"
30,Solana,SOL,2020-05-10 23:59:59,"0,61","0,51","0,60","0,54","2327580,80","0,00"
31,Solana,SOL,2020-05-11 23:59:59,"0,57","0,51","0,54","0,52","2098480,83","0,00"
32,Solana,SOL,2020-05-12 23:59:59,"0,56","0,51","0,51","0,54","2198624,88","0,00"
33,Solana,SOL,2020-05-13 23:59:59,"0,56","0,52","0,54","0,55","2326445,53","0,00"
34,Solana,SOL,2020-05-14 23:59:59,"0,58","0,55","0,55","0,57","2047896,79","0,00"
35,Solana,SOL,2020-05-15 23:59:59,"0,57","0,55","0,57","0,56","1850070,45","0,00"
36,Solana,SOL,2020-05-16 23:59:59,"0,61","0,55","0,56","0,60","2300409,15","0,00"
37,Solana,SOL,2020-05-17 23:59:59,"0,64","0,59","0,60","0,61","2936428,45","0,00"
38,Solana,SOL,2020-05-18 23:59:59,"0,67","0,61","0,61","0,65","3314358,53","0,00"
39,Solana,SOL,2020-05-19 23:59:59,"0,65","0,61","0,65","0,62","2380263,04","0,00"
40,Solana,SOL,2020-05-20 23:59:59,"0,63","0,58","0,62","0,58","2302926,40","0,00"
41,Solana,SOL,2020-05-21 23:59:59,"0,61","0,54","0,58","0,61","2863016,80","0,00"
42,Solana,SOL,2020-05-22 23:59:59,"0,68","0,58","0,61","0,64","3411419,38","0,00"
43,Solana,SOL,2020-05-23 23:59:59,"0,64","0,59","0,64","0,61","2638523,85","0,00"
44,Solana,SOL,2020-05-24 23:59:59,"0,61","0,55","0,61","0,55","2786816,20","0,00"
