SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Stellar,XLM,2014-08-06 23:59:59,"0,00","0,00","0,00","0,00","35819,80","966369,52"
2,Stellar,XLM,2014-08-07 23:59:59,"0,00","0,00","0,00","0,00","142864,00","1079147,58"
3,Stellar,XLM,2014-08-08 23:59:59,"0,00","0,00","0,00","0,00","93707,80","1260109,50"
4,Stellar,XLM,2014-08-09 23:59:59,"0,00","0,00","0,00","0,00","233579,00","1645185,47"
5,Stellar,XLM,2014-08-10 23:59:59,"0,01","0,00","0,00","0,00","352737,00","2216011,86"
6,Stellar,XLM,2014-08-11 23:59:59,"0,01","0,00","0,00","0,00","479942,00","2273973,66"
7,Stellar,XLM,2014-08-12 23:59:59,"0,00","0,00","0,00","0,00","345441,00","2271969,53"
8,Stellar,XLM,2014-08-13 23:59:59,"0,00","0,00","0,00","0,00","256302,00","2589318,44"
9,Stellar,XLM,2014-08-14 23:59:59,"0,00","0,00","0,00","0,00","169177,00","2487700,82"
10,Stellar,XLM,2014-08-15 23:59:59,"0,00","0,00","0,00","0,00","135243,00","2431615,90"
11,Stellar,XLM,2014-08-16 23:59:59,"0,00","0,00","0,00","0,00","116834,00","2594830,53"
12,Stellar,XLM,2014-08-17 23:59:59,"0,00","0,00","0,00","0,00","61889,00","2421904,86"
13,Stellar,XLM,2014-08-18 23:59:59,"0,00","0,00","0,00","0,00","104237,00","2111934,57"
14,Stellar,XLM,2014-08-19 23:59:59,"0,00","0,00","0,00","0,00","66940,60","2319684,65"
15,Stellar,XLM,2014-08-20 23:59:59,"0,00","0,00","0,00","0,00","96583,80","2603228,66"
16,Stellar,XLM,2014-08-21 23:59:59,"0,00","0,00","0,00","0,00","76029,30","2493230,44"
17,Stellar,XLM,2014-08-22 23:59:59,"0,00","0,00","0,00","0,00","50589,10","2456522,64"
18,Stellar,XLM,2014-08-23 23:59:59,"0,00","0,00","0,00","0,00","43776,30","2333756,49"
19,Stellar,XLM,2014-08-24 23:59:59,"0,00","0,00","0,00","0,00","37470,40","2328446,95"
20,Stellar,XLM,2014-08-25 23:59:59,"0,00","0,00","0,00","0,00","38511,60","2316638,70"
21,Stellar,XLM,2014-08-26 23:59:59,"0,00","0,00","0,00","0,00","99823,00","2414348,84"
22,Stellar,XLM,2014-08-27 23:59:59,"0,00","0,00","0,00","0,00","60131,80","2371027,58"
23,Stellar,XLM,2014-08-28 23:59:59,"0,00","0,00","0,00","0,00","90044,10","2274496,19"
24,Stellar,XLM,2014-08-29 23:59:59,"0,00","0,00","0,00","0,00","43048,50","2305894,45"
25,Stellar,XLM,2014-08-30 23:59:59,"0,00","0,00","0,00","0,00","39115,80","2290049,28"
26,Stellar,XLM,2014-08-31 23:59:59,"0,00","0,00","0,00","0,00","22843,50","2149456,01"
27,Stellar,XLM,2014-09-01 23:59:59,"0,00","0,00","0,00","0,00","27974,90","2096569,24"
28,Stellar,XLM,2014-09-02 23:59:59,"0,00","0,00","0,00","0,00","23792,50","2085616,36"
29,Stellar,XLM,2014-09-03 23:59:59,"0,00","0,00","0,00","0,00","36080,60","2296310,99"
30,Stellar,XLM,2014-09-04 23:59:59,"0,00","0,00","0,00","0,00","58031,00","2385988,81"
31,Stellar,XLM,2014-09-05 23:59:59,"0,00","0,00","0,00","0,00","26119,00","2342120,42"
32,Stellar,XLM,2014-09-06 23:59:59,"0,00","0,00","0,00","0,00","31676,00","2352617,70"
33,Stellar,XLM,2014-09-07 23:59:59,"0,00","0,00","0,00","0,00","34743,60","2321955,09"
34,Stellar,XLM,2014-09-08 23:59:59,"0,00","0,00","0,00","0,00","105569,00","2577430,17"
35,Stellar,XLM,2014-09-09 23:59:59,"0,00","0,00","0,00","0,00","51288,70","2500177,43"
36,Stellar,XLM,2014-09-10 23:59:59,"0,00","0,00","0,00","0,00","59877,90","2630390,60"
37,Stellar,XLM,2014-09-11 23:59:59,"0,00","0,00","0,00","0,00","113300,00","2903423,87"
38,Stellar,XLM,2014-09-12 23:59:59,"0,00","0,00","0,00","0,00","117052,00","3464777,90"
39,Stellar,XLM,2014-09-13 23:59:59,"0,00","0,00","0,00","0,00","111452,00","3632836,87"
