SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Tether,USDT,2015-02-26 23:59:59,"1,21","1,19","1,21","1,21","5,96","303364,18"
2,Tether,USDT,2015-03-02 23:59:59,"0,61","0,57","0,57","0,61","3,03","152595,90"
3,Tether,USDT,2015-03-03 23:59:59,"0,61","0,60","0,61","0,61","3,03","152527,22"
4,Tether,USDT,2015-03-06 23:59:59,"1,00","1,00","1,00","1,00","92,65","251600,00"
5,Tether,USDT,2015-03-07 23:59:59,"1,00","1,00","1,00","1,00","58196,80","251600,00"
6,Tether,USDT,2015-03-08 23:59:59,"1,00","1,00","1,00","1,00","31,14","251600,00"
7,Tether,USDT,2015-03-09 23:59:59,"1,00","1,00","1,00","1,00","143,00","251600,00"
8,Tether,USDT,2015-03-10 23:59:59,"1,00","1,00","1,00","1,00","49996,70","251600,00"
9,Tether,USDT,2015-03-11 23:59:59,"1,00","1,00","1,00","1,00","49,31","251600,00"
10,Tether,USDT,2015-03-12 23:59:59,"1,00","1,00","1,00","1,00","80418,30","251600,00"
11,Tether,USDT,2015-03-13 23:59:59,"1,00","1,00","1,00","1,00","75,28","251600,00"
12,Tether,USDT,2015-03-14 23:59:59,"1,00","1,00","1,00","1,00","17705,10","251600,00"
13,Tether,USDT,2015-03-15 23:59:59,"1,00","1,00","1,00","1,00","15124,50","251600,00"
14,Tether,USDT,2015-03-16 23:59:59,"1,00","1,00","1,00","1,00","49631,50","251600,00"
15,Tether,USDT,2015-03-17 23:59:59,"1,00","1,00","1,00","1,00","4284,02","251600,00"
16,Tether,USDT,2015-03-18 23:59:59,"1,00","1,00","1,00","1,00","202,34","251600,00"
17,Tether,USDT,2015-03-19 23:59:59,"1,00","1,00","1,00","1,00","713,95","251600,00"
18,Tether,USDT,2015-03-20 23:59:59,"1,00","1,00","1,00","1,00","132,73","251600,00"
19,Tether,USDT,2015-03-21 23:59:59,"1,00","1,00","1,00","1,00","206,27","251600,00"
20,Tether,USDT,2015-03-22 23:59:59,"1,00","1,00","1,00","1,00","66,68","251600,00"
21,Tether,USDT,2015-03-23 23:59:59,"1,00","1,00","1,00","1,00","65,84","251600,00"
22,Tether,USDT,2015-03-24 23:59:59,"1,00","1,00","1,00","1,00","1179,44","251600,00"
23,Tether,USDT,2015-03-25 23:59:59,"1,00","1,00","1,00","1,00","92,35","251600,00"
24,Tether,USDT,2015-03-26 23:59:59,"1,00","1,00","1,00","1,00","2,31","251600,00"
25,Tether,USDT,2015-03-27 23:59:59,"1,00","1,00","1,00","1,00","4,79","251600,00"
26,Tether,USDT,2015-03-28 23:59:59,"1,00","1,00","1,00","1,00","17,04","251600,00"
27,Tether,USDT,2015-03-29 23:59:59,"1,00","1,00","1,00","1,00","20,64","251600,00"
28,Tether,USDT,2015-03-30 23:59:59,"1,00","1,00","1,00","1,00","494,70","251600,00"
29,Tether,USDT,2015-03-31 23:59:59,"1,00","1,00","1,00","1,00","37,05","251600,00"
30,Tether,USDT,2015-04-01 23:59:59,"1,00","1,00","1,00","1,00","14,49","251600,00"
31,Tether,USDT,2015-04-02 23:59:59,"1,00","1,00","1,00","1,00","79969,90","251600,00"
32,Tether,USDT,2015-04-03 23:59:59,"1,00","1,00","1,00","1,00","8887,17","251600,00"
33,Tether,USDT,2015-04-04 23:59:59,"1,00","1,00","1,00","1,00","2018,25","251600,00"
34,Tether,USDT,2015-04-05 23:59:59,"1,00","1,00","1,00","1,00","2887,05","251600,00"
35,Tether,USDT,2015-04-06 23:59:59,"1,00","1,00","1,00","1,00","254,30","251600,00"
36,Tether,USDT,2015-04-07 23:59:59,"1,00","1,00","1,00","1,00","19179,00","251600,00"
37,Tether,USDT,2015-04-08 23:59:59,"1,00","1,00","1,00","1,00","1024,20","251600,00"
38,Tether,USDT,2015-04-09 23:59:59,"1,00","1,00","1,00","1,00","100949,00","251600,00"
39,Tether,USDT,2015-04-10 23:59:59,"1,00","1,00","1,00","1,00","470,23","251600,00"
40,Tether,USDT,2015-04-11 23:59:59,"1,00","1,00","1,00","1,00","2868,80","251600,00"
41,Tether,USDT,2015-04-12 23:59:59,"1,00","1,00","1,00","1,00","1970,79","251600,00"
42,Tether,USDT,2015-04-13 23:59:59,"1,00","1,00","1,00","1,00","46026,00","251600,00"
43,Tether,USDT,2015-04-14 23:59:59,"1,00","1,00","1,00","1,00","50323,80","251600,00"
44,Tether,USDT,2015-04-15 23:59:59,"1,00","1,00","1,00","1,00","40700,20","251600,00"
45,Tether,USDT,2015-04-16 23:59:59,"1,00","1,00","1,00","1,00","46909,20","251600,00"
46,Tether,USDT,2015-04-17 23:59:59,"1,00","1,00","1,00","1,00","50,48","251600,00"
47,Tether,USDT,2015-04-18 23:59:59,"1,00","1,00","1,00","1,00","48,97","251600,00"
48,Tether,USDT,2015-04-19 23:59:59,"1,00","1,00","1,00","1,00","21,93","251600,00"
49,Tether,USDT,2015-04-20 23:59:59,"1,00","1,00","1,00","1,00","38,26","251600,00"
50,Tether,USDT,2015-04-21 23:59:59,"1,00","1,00","1,00","1,00","85932,70","251600,00"
51,Tether,USDT,2015-04-22 23:59:59,"1,00","1,00","1,00","1,00","40305,60","251600,00"
52,Tether,USDT,2015-04-23 23:59:59,"1,00","1,00","1,00","1,00","21632,00","251600,00"
53,Tether,USDT,2015-04-24 23:59:59,"1,00","1,00","1,00","1,00","20261,80","251600,00"
54,Tether,USDT,2015-04-25 23:59:59,"1,00","1,00","1,00","1,00","26,46","251600,00"
55,Tether,USDT,2015-04-26 23:59:59,"1,00","1,00","1,00","1,00","555,44","251600,00"
56,Tether,USDT,2015-04-27 23:59:59,"1,00","1,00","1,00","1,00","17806,20","251600,00"
57,Tether,USDT,2015-04-28 23:59:59,"1,00","1,00","1,00","1,00","42628,10","251600,00"
58,Tether,USDT,2015-04-29 23:59:59,"1,00","1,00","1,00","1,00","12,19","251600,00"
59,Tether,USDT,2015-04-30 23:59:59,"1,00","1,00","1,00","1,00","613,07","251600,00"
60,Tether,USDT,2015-05-01 23:59:59,"1,00","1,00","1,00","1,00","48,38","251600,00"
61,Tether,USDT,2015-05-02 23:59:59,"1,00","1,00","1,00","1,00","3,99","251600,00"
62,Tether,USDT,2015-05-03 23:59:59,"1,00","1,00","1,00","1,00","1517,87","251600,00"
63,Tether,USDT,2015-05-04 23:59:59,"1,00","1,00","1,00","1,00","83170,80","251600,00"
64,Tether,USDT,2015-05-05 23:59:59,"1,00","1,00","1,00","1,00","21,43","251600,00"
65,Tether,USDT,2015-05-06 23:59:59,"1,00","1,00","1,00","1,00","10,19","251600,00"
66,Tether,USDT,2015-05-07 23:59:59,"1,00","1,00","1,00","1,00","120,48","251600,00"
67,Tether,USDT,2015-05-08 23:59:59,"1,00","1,00","1,00","1,00","545,50","251600,00"
68,Tether,USDT,2015-05-09 23:59:59,"1,00","1,00","1,00","1,00","170,77","251600,00"
69,Tether,USDT,2015-05-10 23:59:59,"1,00","1,00","1,00","1,00","2466,13","251600,00"
70,Tether,USDT,2015-05-11 23:59:59,"1,00","1,00","1,00","1,00","583,83","251600,00"
71,Tether,USDT,2015-05-12 23:59:59,"1,00","1,00","1,00","1,00","5,22","251600,00"
72,Tether,USDT,2015-05-13 23:59:59,"1,00","1,00","1,00","1,00","0,11","251600,00"
73,Tether,USDT,2015-05-14 23:59:59,"1,00","1,00","1,00","1,00","2184,61","251600,00"
74,Tether,USDT,2015-05-15 23:59:59,"1,00","1,00","1,00","1,00","92,12","251600,00"
75,Tether,USDT,2015-05-16 23:59:59,"1,00","1,00","1,00","1,00","297,45","251600,00"
76,Tether,USDT,2015-05-17 23:59:59,"1,00","1,00","1,00","1,00","682,92","251600,00"
77,Tether,USDT,2015-05-18 23:59:59,"1,00","1,00","1,00","1,00","31,39","451600,00"
78,Tether,USDT,2015-05-19 23:59:59,"1,00","1,00","1,00","1,00","25358,70","451600,00"
