SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Uniswap,UNI,2020-09-18 23:59:59,"8,44","3,26","3,49","6,90","6061110197,71","668111645,02"
2,Uniswap,UNI,2020-09-19 23:59:59,"7,44","5,32","6,95","5,72","2447471305,09","554507578,81"
3,Uniswap,UNI,2020-09-20 23:59:59,"6,05","4,72","5,72","5,24","1554143599,06","507985734,87"
4,Uniswap,UNI,2020-09-21 23:59:59,"5,62","4,16","5,24","4,27","1329464490,17","413239181,61"
5,Uniswap,UNI,2020-09-22 23:59:59,"4,55","3,76","4,28","3,91","816282684,41","378276197,43"
6,Uniswap,UNI,2020-09-23 23:59:59,"4,71","3,92","3,92","4,65","964205456,91","450744484,21"
7,Uniswap,UNI,2020-09-24 23:59:59,"5,25","4,45","4,45","5,14","1168427377,43","497627878,47"
8,Uniswap,UNI,2020-09-25 23:59:59,"5,53","4,85","5,16","5,01","882242519,30","485585988,68"
9,Uniswap,UNI,2020-09-26 23:59:59,"5,23","4,74","5,01","4,81","463707078,01","465527823,67"
10,Uniswap,UNI,2020-09-27 23:59:59,"5,44","4,73","4,80","4,78","444099191,73","463107918,57"
11,Uniswap,UNI,2020-09-28 23:59:59,"4,94","4,16","4,78","4,19","435788115,88","405673978,94"
12,Uniswap,UNI,2020-09-29 23:59:59,"4,42","4,12","4,19","4,42","356399046,70","427895179,21"
13,Uniswap,UNI,2020-09-30 23:59:59,"4,45","3,92","4,45","4,01","375777186,50","388725832,18"
14,Uniswap,UNI,2020-10-01 23:59:59,"4,51","3,97","4,01","4,26","701098957,90","412637282,25"
15,Uniswap,UNI,2020-10-02 23:59:59,"4,29","3,67","4,26","3,79","646428103,65","366725902,60"
16,Uniswap,UNI,2020-10-03 23:59:59,"4,12","3,75","3,78","3,79","359042995,38","367279572,93"
17,Uniswap,UNI,2020-10-04 23:59:59,"3,82","3,62","3,80","3,67","413697305,85","355395144,45"
18,Uniswap,UNI,2020-10-05 23:59:59,"3,72","3,34","3,67","3,42","497456256,79","331205713,42"
19,Uniswap,UNI,2020-10-06 23:59:59,"3,42","2,72","3,42","2,83","681166626,08","274542426,71"
20,Uniswap,UNI,2020-10-07 23:59:59,"2,99","2,46","2,84","2,80","664950267,34","271231751,18"
21,Uniswap,UNI,2020-10-08 23:59:59,"3,42","2,58","2,80","3,27","717724262,16","316782350,85"
22,Uniswap,UNI,2020-10-09 23:59:59,"3,56","3,00","3,29","3,10","672751180,97","300030423,76"
23,Uniswap,UNI,2020-10-10 23:59:59,"3,63","3,05","3,08","3,33","562610976,54","322712656,47"
24,Uniswap,UNI,2020-10-11 23:59:59,"3,44","3,25","3,33","3,39","411091368,09","328109389,43"
25,Uniswap,UNI,2020-10-12 23:59:59,"3,43","3,20","3,38","3,26","558369285,39","315809405,89"
26,Uniswap,UNI,2020-10-13 23:59:59,"3,62","3,24","3,26","3,50","383311535,25","338767151,11"
27,Uniswap,UNI,2020-10-14 23:59:59,"3,58","2,65","3,50","3,08","516845492,97","298544164,03"
28,Uniswap,UNI,2020-10-15 23:59:59,"3,08","2,87","3,08","2,91","439092200,22","541141642,90"
