SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Wrapped Bitcoin,WBTC,2019-01-31 23:59:59,"3535,42","3435,29","3496,84","3466,51","19289,07","0,00"
2,Wrapped Bitcoin,WBTC,2019-02-01 23:59:59,"3517,77","3422,83","3469,39","3480,77","13640,47","0,00"
3,Wrapped Bitcoin,WBTC,2019-02-02 23:59:59,"3546,40","3459,11","3476,34","3542,10","1894,97","0,00"
4,Wrapped Bitcoin,WBTC,2019-02-03 23:59:59,"3544,67","3436,18","3540,56","3477,87","6524,93","0,00"
5,Wrapped Bitcoin,WBTC,2019-02-04 23:59:59,"3500,41","3445,64","3481,73","3481,22","3540,94","0,00"
6,Wrapped Bitcoin,WBTC,2019-02-05 23:59:59,"3492,85","3443,33","3478,45","3461,87","1522,39","0,00"
7,Wrapped Bitcoin,WBTC,2019-02-06 23:59:59,"3465,46","3330,12","3465,30","3444,96","2837,45","0,00"
8,Wrapped Bitcoin,WBTC,2019-02-07 23:59:59,"3464,21","3389,16","3442,65","3395,98","538,75","0,00"
9,Wrapped Bitcoin,WBTC,2019-02-08 23:59:59,"3760,55","3394,45","3400,35","3664,84","7174,10","0,00"
10,Wrapped Bitcoin,WBTC,2019-02-09 23:59:59,"3703,65","3616,80","3661,55","3677,96","598,59","0,00"
11,Wrapped Bitcoin,WBTC,2019-02-10 23:59:59,"3858,13","3617,36","3675,89","3686,29","2598,34","0,00"
12,Wrapped Bitcoin,WBTC,2019-02-11 23:59:59,"3709,27","3582,40","3693,37","3636,49","2702,89","0,00"
13,Wrapped Bitcoin,WBTC,2019-02-12 23:59:59,"3721,28","3583,00","3630,57","3664,99","1060,25","0,00"
14,Wrapped Bitcoin,WBTC,2019-02-13 23:59:59,"3739,78","3599,57","3664,46","3641,12","3996,10","0,00"
15,Wrapped Bitcoin,WBTC,2019-02-14 23:59:59,"3689,82","3580,10","3638,43","3611,82","888,26","0,00"
16,Wrapped Bitcoin,WBTC,2019-02-15 23:59:59,"3670,51","3587,31","3610,24","3629,20","72,69","0,00"
17,Wrapped Bitcoin,WBTC,2019-02-16 23:59:59,"3670,46","3609,23","3634,65","3644,54","948,06","0,00"
18,Wrapped Bitcoin,WBTC,2019-02-17 23:59:59,"3787,97","3587,12","3641,88","3705,29","1739,66","0,00"
19,Wrapped Bitcoin,WBTC,2019-02-18 23:59:59,"3934,01","3687,71","3693,86","3909,03","12638,30","0,00"
20,Wrapped Bitcoin,WBTC,2019-02-19 23:59:59,"3988,46","3858,83","3911,87","3869,74","852,57","0,00"
21,Wrapped Bitcoin,WBTC,2019-02-20 23:59:59,"4055,46","3833,45","3866,16","4055,46","2775,97","0,00"
22,Wrapped Bitcoin,WBTC,2019-02-21 23:59:59,"4053,34","3902,08","4053,34","3978,72","1570,89","0,00"
23,Wrapped Bitcoin,WBTC,2019-02-22 23:59:59,"4033,53","3926,61","3980,40","4018,19","1724,88","0,00"
24,Wrapped Bitcoin,WBTC,2019-02-23 23:59:59,"4166,84","3986,69","4010,54","4166,84","5539,74","0,00"
25,Wrapped Bitcoin,WBTC,2019-02-24 23:59:59,"4329,91","3638,23","4167,25","3659,93","7179,64","0,00"
26,Wrapped Bitcoin,WBTC,2019-02-25 23:59:59,"3943,29","3635,35","3635,35","3865,78","9978,77","0,00"
27,Wrapped Bitcoin,WBTC,2019-02-26 23:59:59,"3904,57","3813,61","3863,33","3904,57","4910,80","0,00"
28,Wrapped Bitcoin,WBTC,2019-02-27 23:59:59,"3915,75","3727,82","3903,92","3903,79","10916,76","0,00"
29,Wrapped Bitcoin,WBTC,2019-02-28 23:59:59,"3948,53","3848,97","3902,08","3854,59","1456,25","0,00"
30,Wrapped Bitcoin,WBTC,2019-03-01 23:59:59,"3924,74","3824,55","3854,47","3858,35","816,07","0,00"
31,Wrapped Bitcoin,WBTC,2019-03-02 23:59:59,"3931,38","3780,35","3854,44","3871,58","2371,94","0,00"
32,Wrapped Bitcoin,WBTC,2019-03-03 23:59:59,"3918,60","3796,46","3885,56","3824,17","13356,28","0,00"
33,Wrapped Bitcoin,WBTC,2019-03-04 23:59:59,"3893,58","3735,10","3821,19","3759,72","16895,19","0,00"
34,Wrapped Bitcoin,WBTC,2019-03-05 23:59:59,"3952,50","3718,65","3769,46","3923,04","14615,37","0,00"
35,Wrapped Bitcoin,WBTC,2019-03-06 23:59:59,"3979,95","3793,02","3926,31","3923,13","5608,57","0,00"
36,Wrapped Bitcoin,WBTC,2019-03-07 23:59:59,"3976,74","3882,13","3927,66","3898,30","22194,90","0,00"
37,Wrapped Bitcoin,WBTC,2019-03-08 23:59:59,"3971,55","3799,41","3905,56","3901,64","4771,70","0,00"
38,Wrapped Bitcoin,WBTC,2019-03-09 23:59:59,"3979,26","3890,41","3894,20","3941,19","7745,07","0,00"
39,Wrapped Bitcoin,WBTC,2019-03-10 23:59:59,"3999,01","3912,60","3978,05","3979,81","232,91","0,00"
40,Wrapped Bitcoin,WBTC,2019-03-11 23:59:59,"3996,45","3872,89","3981,74","3900,05","2516,77","0,00"
41,Wrapped Bitcoin,WBTC,2019-03-12 23:59:59,"3939,33","3832,92","3900,90","3909,92","5523,06","0,00"
42,Wrapped Bitcoin,WBTC,2019-03-13 23:59:59,"3929,63","3874,61","3921,08","3901,74","4701,18","0,00"
43,Wrapped Bitcoin,WBTC,2019-03-14 23:59:59,"3963,98","3892,43","3899,20","3941,65","4926,24","0,00"
44,Wrapped Bitcoin,WBTC,2019-03-15 23:59:59,"4014,02","3897,20","3937,43","3967,20","7744,68","0,00"
45,Wrapped Bitcoin,WBTC,2019-03-16 23:59:59,"4144,41","3973,11","3973,11","4041,24","3435,42","0,00"
46,Wrapped Bitcoin,WBTC,2019-03-17 23:59:59,"4073,63","3978,15","4037,77","4031,45","20982,05","0,00"
47,Wrapped Bitcoin,WBTC,2019-03-18 23:59:59,"4094,05","4006,36","4035,64","4075,62","2959,94","0,00"
48,Wrapped Bitcoin,WBTC,2019-03-19 23:59:59,"4093,12","4023,30","4074,39","4076,27","5386,06","0,00"
49,Wrapped Bitcoin,WBTC,2019-03-20 23:59:59,"4106,05","4024,02","4080,72","4102,38","6762,56","0,00"
50,Wrapped Bitcoin,WBTC,2019-03-21 23:59:59,"4117,88","3996,20","4103,65","4031,06","37598,41","0,00"
51,Wrapped Bitcoin,WBTC,2019-03-22 23:59:59,"4078,67","4017,97","4027,55","4034,87","5036,60","0,00"
52,Wrapped Bitcoin,WBTC,2019-03-23 23:59:59,"4084,79","4008,66","4030,32","4043,72","1383,96","0,00"
53,Wrapped Bitcoin,WBTC,2019-03-24 23:59:59,"4048,44","3998,41","4048,20","4034,19","67,75","0,00"
